"label_full","population","island_group","region","province","locality","latitude","longitude","precision_tier","basis","model_region","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years"
"PhCor_Apayao","Apayao","Luzon","Cordillera","Apayao","Conner",17.75,121.3333,"A","S10 LGU: Conner, Apayao; S9 main group of Apayao province","non_mindanao","4-source",0.938,0.075,0.01,0,NA,0.047,0.022,0.015,0.049,NA,499.59,0.427485856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Kalinga","Kalinga","Luzon","Cordillera","Kalinga","Tabuk City",17.4547,121.4442,"A","S10 LGU: Tabuk, Kalinga","non_mindanao","4-source",0.975,0.035,0.003,0,NA,0.041,0.021,0.013,0.041,NA,499.589,0.134871571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Itneg","Itneg","Luzon","Cordillera","Abra","Bangued",17.5983,120.6178,"A","S10 LGU: Bangued, Abra; S9 main group of Abra","non_mindanao","4-source",0.933,0.065,0,0.021,NA,0.039,0.02,0.013,0.04,NA,499.589,0.212201075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Kankanaey","Kankanaey","Luzon","Cordillera","Mountain Province","Sagada",17.0833,120.9,"A","S10 LGU: Sagada, Mt.Prov; S9 Sagada/Besao/Bauko/Tadian/Sabangan","non_mindanao","4-source",0.984,0.002,0,0.016,NA,0.037,0.018,0.012,0.039,NA,499.591,0.0497617768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Bontoc","Bontoc","Luzon","Cordillera","Mountain Province","Bontoc",17.0897,120.9764,"A","S10 LGU: Bontoc, Mt.Prov; S9 most Bontoc in Bontoc municipality","non_mindanao","4-source",0.949,0,0.002,0.052,NA,0.036,0.018,0.012,0.036,NA,499.59,0.290872479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Balangao","Balangao","Luzon","Cordillera","Mountain Province","Natonin",17.2333,121.2167,"B","S9: eastern Mt.Prov, mainly Natonin, some Paracelis & Barlig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_AyanganIfugao","AyanganIfugao","Luzon","Cordillera","Ifugao","Mayoyao",16.9789,121.2033,"B","S9: Ayangan settled in eastern sections of Ifugao province","non_mindanao","4-source",0.988,0,0.003,0.032,NA,0.036,0.018,0.012,0.036,NA,499.591,0.143756824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_TuwaliIfugao","TuwaliIfugao","Luzon","Cordillera","Ifugao","Kiangan",16.7789,121.0889,"B","S9: Tuwali mostly in Hungduan & Kiangan; S10 LGU Lagawe, Ifugao","non_mindanao","4-source",0.971,0,0.02,0.051,NA,0.032,0.017,0.011,0.032,NA,499.591,0.239701588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Kalanguya","Kalanguya","Luzon","Cordillera","Ifugao","Tinoc",16.6333,120.9333,"B","S9: around Mt Pulag - Tinoc/Asipulo/Kiangan/Hungduan, Kayapa, Bokod","non_mindanao","4-source",1.015,0,0.023,0.013,NA,0.036,0.018,0.012,0.035,NA,499.59,0.492410765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Ibaloi","Ibaloi","Luzon","Cordillera","Benguet","La Trinidad",16.4597,120.5875,"A","S10 LGU: La Trinidad, Benguet","non_mindanao","4-source",0.999,0,0.005,0.01,NA,0.043,0.019,0.013,0.044,NA,499.589,0.0695881982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Bugkalot","Bugkalot","Luzon","Cagayan Valley","Nueva Vizcaya","Alfonso Castaneda",15.95,121.2167,"C","S9: Nueva Vizcaya & Nueva Ecija along Caraballo / S. Sierra Madre","non_mindanao","4-source",0.876,0.148,0.015,0,NA,0.041,0.022,0.014,0.041,NA,499.592,0.151611061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCor_Pangasinan","Pangasinan","Luzon","Ilocos","Pangasinan","Lingayen",16.0214,120.2317,"C","S9: province of Pangasinan; Pangasinan State Univ acknowledged (S10)","non_mindanao","4-source",0.791,0.114,0.009,0.087,NA,0.039,0.019,0.013,0.038,NA,499.586,0.56036431,NA,NA,14.12,NA,NA,5.91,NA,NA,423.6,NA,NA,177.3
"PhCen_Sambal","Sambal","Luzon","Central Luzon","Zambales","Iba",15.3275,119.9781,"C","S9: Sambal found throughout Zambales province","non_mindanao","4-source",0.82,0.132,0.011,0.038,NA,0.044,0.021,0.014,0.043,NA,499.593,0.478743133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCen_Bolinao","Bolinao","Luzon","Ilocos","Pangasinan","Bolinao",16.3833,119.8833,"A","S10 LGU: Bolinao, Pangasinan; S9 Bolinao & Anda municipalities","non_mindanao","4-source",0.858,0.096,0.013,0.033,NA,0.046,0.022,0.015,0.047,NA,499.592,0.00970132342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCen_Kapampangan","Kapampangan","Luzon","Central Luzon","Pampanga","City of San Fernando",15.0333,120.6833,"C","S9: mainly Pampanga province","non_mindanao","4-source",0.644,0.108,0.015,0.233,NA,0.034,0.016,0.011,0.035,NA,499.594,0.255435196,23.2,NA,12.72,9.29,NA,3.51,696,NA,381.6,278.7,NA,105.3
"PhCen_Tagalog","Tagalog","Luzon","NCR","Metro Manila","Metro Manila",14.5995,120.9842,"C","S9: capital region + Calabarzon; regional centroid proxy","non_mindanao","4-source",0.647,0.141,0.009,0.203,NA,0.036,0.016,0.01,0.037,NA,499.598,0.398789196,NA,NA,11.48,NA,NA,5.75,NA,NA,344.4,NA,NA,172.5
"PhBik_Bicolano","Bicolano","Luzon","Bicol","Camarines Sur","Naga City",13.6218,123.1948,"B","S9: Bicol region; S10 Ateneo de Naga University partner","non_mindanao","4-source",0.649,0.189,0.031,0.132,NA,0.038,0.019,0.012,0.039,NA,499.595,0.0533054618,2.35,NA,NA,0.61,NA,NA,70.5,NA,NA,18.3,NA,NA
"PhMyn_MangyanBuhid","MangyanBuhid","Mindoro","Mimaropa","Oriental Mindoro","Bongabong / Roxas uplands",12.7458,121.43,"B","S9: Mansalay, Roxas, Bongabong, Bansud (OrMdo); San Jose, Rizal (OccMdo)","non_mindanao","4-source",0.766,0.265,0,0,NA,0.057,0.028,0.019,0.059,NA,499.589,0.289665901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMyn_MangyanBangon","MangyanBangon","Mindoro","Mimaropa","Oriental Mindoro","Bansud / Gloria uplands",12.8619,121.42,"B","S9: ICCs in Bansud, Bongabong and Gloria, Oriental Mindoro","non_mindanao","4-source",0.751,0.249,0,0,NA,0.055,0.029,0.018,0.055,NA,499.59,0.542339157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMyn_MangyanHanunuo","MangyanHanunuo","Mindoro","Mimaropa","Oriental Mindoro","Mansalay",12.5225,121.4,"B","S9: Mansalay, Bulalacao, parts of Bongabong, SE Mindoro","non_mindanao","4-source",0.731,0.261,0,0.03,NA,0.046,0.023,0.015,0.047,NA,499.591,0.483241083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMyn_MangyanIraya","MangyanIraya","Mindoro","Mimaropa","Oriental Mindoro","San Teodoro",13.4297,121.0158,"B","S9: Puerto Galera, San Teodoro, Baco; Abra de Ilog, Paluan, Mamburao, Sta Cruz","non_mindanao","4-source",0.666,0.352,0,0,NA,0.05,0.026,0.017,0.052,NA,499.596,0.366944812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhBuk_BinukidnonNegros","BinukidnonNegros","Negros","Western Visayas","Negros Occidental","Kabankalan",9.9892,122.8147,"A","S9: group in this study are Karolanos of Kabankalan; S10 LGU Kabankalan","non_mindanao","4-source",0.699,0.257,0,0.055,NA,0.04,0.021,0.013,0.041,NA,499.591,0.043210794,NA,NA,22.8,NA,NA,9.6,NA,NA,684,NA,NA,288
"PhBuk_Sulodnon","Sulodnon","Panay","Western Visayas","Capiz / Iloilo / Antique","Interior Panay (Tapaz-Lambunao-Valderrama)",11.15,122.4,"B","S9: interior municipalities Tapaz Capiz, Lambunao Iloilo, Valderrama Antique","non_mindanao","4-source",0.755,0.196,0,0.076,NA,0.039,0.019,0.013,0.04,NA,499.599,0.221859894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhVis_Kinaray-a","Kinaray-a","Panay","Western Visayas","Antique","San Jose de Buenavista",10.7444,121.9394,"C","S9: mainly Antique province","non_mindanao","4-source",0.788,0.228,0,0.011,NA,0.04,0.02,0.013,0.041,NA,499.591,0.00136746203,NA,NA,22.66,NA,NA,8.66,NA,NA,679.8,NA,NA,259.8
"PhVis_Hilgaynon","Hilgaynon","Panay","Western Visayas","Iloilo","Iloilo City",10.7202,122.5621,"C","S9: Panay island; Iloilo City an administrative centre","non_mindanao","4-source",0.77,0.198,0,0.05,NA,0.041,0.02,0.013,0.042,NA,499.59,0.00198614191,NA,NA,22.01,NA,NA,5.44,NA,NA,660.3,NA,NA,163.2
"PhVis_Cebuano","Cebuano","Cebu","Central Visayas","Cebu","Cebu City",10.3157,123.8854,"C","S9: from Cebu, spread to Bohol/Negros Or./Leyte","non_mindanao","4-source",0.713,0.245,0,0.063,NA,0.043,0.021,0.014,0.042,NA,499.58,0.00564310052,22.92,NA,21.91,7.32,NA,8.9,687.6,NA,657.3,219.6,NA,267
"PhVis_Boholano","Boholano","Bohol","Central Visayas","Bohol","Tagbilaran City",9.65,123.85,"C","S9: island province of Bohol","non_mindanao","4-source",0.678,0.268,0,0.093,NA,0.053,0.025,0.016,0.052,NA,499.591,0.00608261572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhVis_Waray","Waray","Samar-Leyte","Eastern Visayas","Leyte","Tacloban City",11.2444,125,"C","S9: Samar, N Leyte, Biliran, Ticao","non_mindanao","4-source",0.786,0.217,0,0.024,NA,0.038,0.02,0.013,0.038,NA,499.577,0.0682584966,NA,35.03,13.6,NA,10.44,4.13,NA,1050.9,408,NA,313.2,123.9
"PhVis_Tausug","Tausug","Sulu","BARMM","Sulu","Jolo",6.0522,121.0022,"C","S9: indigenous group of Sulu island province","mindanao_sulu","5-source",0.187,0,0.032,0.105,0.822,1.68,1.887,0.243,0.073,3.319,499.61,0.217034673,NA,NA,23.91,NA,NA,6.85,NA,NA,717.3,NA,NA,205.5
"PhVis_Surigaonon","Surigaonon","Mindanao","Caraga","Surigao del Norte","Surigao City",9.7894,125.4939,"C","S9: people living in Surigao","mindanao_sulu","5-source",0.488,0,0,0.052,0.477,10.504,10.101,1.139,1.567,18.253,499.593,0.351051405,NA,NA,15.73,NA,NA,6.36,NA,NA,471.9,NA,NA,190.8
"PhVis_Cuyonon","Cuyonon","Cuyo Is.","Mimaropa","Palawan","Cuyo",10.85,121.0167,"B","S9: mainly Cuyo Islands between Palawan and Panay","non_mindanao","4-source",0.678,0.303,0,0.037,NA,0.04,0.021,0.013,0.041,NA,499.594,0.237963377,18.74,NA,19.75,6.98,NA,3.46,562.2,NA,592.5,209.4,NA,103.8
"PhKlm_Agutaya","Agutaya","Cuyo Is.","Mimaropa","Palawan","Agutaya",11.1512,120.9395,"B","S9: ~50% of Agutaynen live in Agutaya municipality, Cuyo archipelago","non_mindanao","4-source",0.67,0.316,0,0.034,NA,0.045,0.02,0.013,0.046,NA,499.591,0.556666869,NA,NA,8.04,NA,NA,1.7,NA,NA,241.2,NA,NA,51
"PhPal_Palawano","Palawano","Palawan","Mimaropa","Palawan","Brooke's Point",8.7833,117.8333,"B","S9: Brooke's Point / Bataraza / Quezon-Rizal southern Palawan","mindanao_sulu","5-source",0.073,0,0.056,0.119,1.08,14.978,17.081,2.662,0.883,29.921,499.6,0.0038198086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhPal_Tagbanwa","Tagbanwa","Palawan","Mimaropa","Palawan","Aborlan",9.4333,118.55,"B","S9: central & northern Palawan - Quezon, Aborlan, Puerto Princesa","non_mindanao","4-source",0.652,0.343,0,0.033,NA,0.048,0.021,0.014,0.048,NA,499.591,0.000386139419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhPal_Molbog","Molbog","Palawan","Mimaropa","Palawan","Balabac",7.9861,117.0639,"B","S9: Balabac & Bataraza, mainly Balabac and Ramos Islands","mindanao_sulu","5-source",0.174,0,0.021,0.144,0.796,4.549,5.046,0.72,0.353,8.787,499.597,0.064549222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhSam_SamaDilautTaluksangay","SamaDilautTaluksangay","Mindanao","Zamboanga Peninsula","Zamboanga City","Brgy Taluksangay",6.9667,122.15,"A","S9: Sama Dilaut ICCs of Brgys Mampang & Taluksangay, Zamboanga City","mindanao_sulu","5-source",0,0,0.083,0.181,1.117,7.116,7.677,1.041,0.476,13.922,499.596,0.00117073733,24.09,NA,NA,8.42,NA,NA,722.7,NA,NA,252.6,NA,NA
"PhSam_SamaDilautMampang","SamaDilautMampang","Mindanao","Zamboanga Peninsula","Zamboanga City","Brgy Mampang",6.92,122.1,"A","S9: Sama Dilaut ICCs of Brgys Mampang & Taluksangay, Zamboanga City","mindanao_sulu","5-source",3.348,3.573,0,0.228,-5.744,163.757,198.177,25.063,19.419,356.057,499.596,0.000269682369,NA,NA,20.03,NA,NA,6.34,NA,NA,600.9,NA,NA,190.2
"PhSam_SamaDilautBonggao","SamaDilautBonggao","Tawi-Tawi","BARMM","Tawi-Tawi","Bongao",5.0292,119.7731,"A","S9: Sama Dilaut ICC of Bongao, Tawi-Tawi","mindanao_sulu","5-source",0,0,0.076,0.214,0.936,60.723,68.591,8.692,4.154,117.65,499.597,0.00289735384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhSam_SamaDeyaBonggao","SamaDeyaBonggao","Tawi-Tawi","BARMM","Tawi-Tawi","Bongao",5.0292,119.7731,"A","S9: Sama Deya ICC included in this study is from Bongao, Tawi-Tawi","mindanao_sulu","5-source",0.244,0,0.002,0.179,0.605,3.785,3.996,0.517,0.265,7.07,499.603,0.0409574458,NA,NA,22.74,NA,NA,11.29,NA,NA,682.2,NA,NA,338.7
"PhSam_SamaKabingaan","SamaKabingaan","Mindanao","Zamboanga Peninsula","Zamboanga City","Zamboanga City coastal brgys",6.9214,122.079,"C","S9: coastal brgys of Zamboanga peninsula & Sulu islands (Kabinga'an dialect)","mindanao_sulu","5-source",0.015,0,0.034,0.176,0.981,23.682,25.658,3.208,1.444,47.313,499.597,0.00998963188,NA,NA,35.9,NA,NA,9.32,NA,NA,1077,NA,NA,279.6
"PhSam_SamaBangingi","SamaBangingi","Sulu","BARMM","Sulu","Banguingui (Tongkil Is.)",6.07,121.78,"C","S9: coastal Zamboanga peninsula & Sulu archipelago; Balangingi dialect","mindanao_sulu","5-source",0.127,0,0.029,0.123,0.89,0.686,0.725,0.092,0.075,1.314,499.609,0.33888206,NA,NA,20.57,NA,NA,4.93,NA,NA,617.1,NA,NA,147.9
"PhSam_Yakan","Yakan","Basilan","BARMM","Basilan","Lamitan City",6.65,122.1333,"C","S9: indigenous group of Basilan island province","mindanao_sulu","5-source",0,0,0.045,0.134,1.238,4.597,5.08,0.716,0.327,8.732,499.6,0.0273774806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhCre_Chavacano","Chavacano","Mindanao","Zamboanga Peninsula","Zamboanga City","Zamboanga City",6.9214,122.079,"A","S9: Chavacano speakers in this study are from Zamboanga City; S10 LGU","non_mindanao","4-source",0.663,0.173,0.053,0.112,NA,0.036,0.017,0.012,0.036,NA,499.595,0.0362602804,4.47,NA,5.77,1.68,NA,1.85,134.1,NA,173.1,50.4,NA,55.5
"PhSub_Subanon","Subanon","Mindanao","Zamboanga Peninsula","Zamboanga City","Zamboanga City",6.9214,122.079,"A","S9: Western Subanon ICC of Zamboanga City; S10 LGU Zamboanga City","mindanao_sulu","5-source",0.328,0,0.015,0.068,0.699,5.032,5.662,0.76,0.386,10.083,499.594,0.42437164,NA,NA,23.77,NA,NA,6.79,NA,NA,713.1,NA,NA,203.7
"PhSub_Subanen","Subanen","Mindanao","Zamboanga Peninsula","Zamboanga del Sur","Lakewood",7.8683,123.1206,"A","S9: Southern Subanen ICC of Lakewood municipality, Zamboanga del Sur","mindanao_sulu","5-source",0.343,0,0.014,0.047,0.715,1.018,1.111,0.142,0.114,1.957,499.601,0.384692331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhDan_Iranun","Iranun","Mindanao","BARMM","Maguindanao","Parang",7.3667,124.2667,"B","S9: coastal Maguindanao - Parang, Matanog, Sultan Kudarat, Sultan Mastura, Barira","mindanao_sulu","5-source",0.294,0,0.003,0.052,0.878,2.186,2.531,0.32,0.153,4.51,499.594,0.0643559003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhDan_Meranao","Meranao","Mindanao","BARMM","Lanao del Sur","Marawi City",8,124.2833,"A","S9: settled around Lake Lanao; S10 MSU-Marawi / IPDM partner","mindanao_sulu","5-source",0.478,0,0,0,0.72,1.217,1.264,0.17,0.087,2.253,499.599,0.416743397,NA,NA,15.99,NA,NA,6.58,NA,NA,479.7,NA,NA,197.4
"PhDan_Maguindanaon","Maguindanaon","Mindanao","BARMM","Maguindanao","Datu Piang / Shariff Aguak",6.95,124.43,"B","S9: largest concentration in Dinaig, Datu Piang, Maganoy, Buluan","mindanao_sulu","5-source",0.325,0,0.016,0.046,0.692,8.081,9.23,1.207,0.44,16.317,499.602,0.0753299067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMns_Mandaya","Mandaya","Mindanao","Davao","Davao Oriental","Baganga / Cateel",7.65,126.5,"B","S9: Manay, Caraga, Baganga, Cateel of Davao Oriental","mindanao_sulu","5-source",0.404,0,0.002,0,0.702,0.346,0.378,0.051,0.047,0.687,499.601,0.624946905,NA,NA,35.98,NA,NA,7.82,NA,NA,1079.4,NA,NA,234.6
"PhMns_Mansaka","Mansaka","Mindanao","Davao","Davao del Norte","Tagum City",7.4478,125.8078,"A","S9: Tagum City + Compostela Valley towns; S10 LGU Tagum City","mindanao_sulu","5-source",0.527,0,0,0,0.666,0.671,0.778,0.095,0.094,1.408,499.597,0.546835861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMns_Kamayo","Kamayo","Mindanao","Caraga","Surigao del Sur","Bislig City",8.2117,126.3181,"B","S9: southern Surigao del Sur, large concentration in Bislig; S10 LGU Lingig","mindanao_sulu","5-source",0.462,0,0,0.025,0.579,0.632,0.72,0.096,0.056,1.25,499.606,0.38638395,36.4,NA,10.14,15.7,NA,4.83,1092,NA,304.2,471,NA,144.9
"PhMns_Tagakaolo","Tagakaolo","Mindanao","Davao","Davao Occidental","Malita",6.4167,125.6167,"B","S9: mostly Davao del Sur / Davao Occidental & Sarangani; S10 LGU Malungon, JAS","mindanao_sulu","5-source",0.034,0,0.009,0,1.352,0.677,0.744,0.096,0.072,1.311,499.602,0.20124972,NA,NA,28.22,NA,NA,7.95,NA,NA,846.6,NA,NA,238.5
"PhMns_Kalagan","Kalagan","Mindanao","Davao","Davao del Sur","Padada",6.6333,125.35,"A","S9: Minuslim Kalagan of Padada (DdS), Tagum/Madaum/Matiao, Pantukan, Lupon","mindanao_sulu","5-source",0.034,0,0.024,0,1.41,1.929,2.11,0.25,0.116,3.78,499.599,0.105152703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_Kagayanen","Kagayanen","Cagayancillo","Mimaropa","Palawan","Cagayancillo",9.5817,121.2072,"A","S9: mainly reside in Cagayancillo, island between Negros and Palawan","non_mindanao","4-source",0.729,0.292,0,0.026,NA,0.042,0.021,0.013,0.043,NA,499.591,0.00618081513,NA,NA,15.41,NA,NA,7.19,NA,NA,462.3,NA,NA,215.7
"PhMbo_Cinamiguin","Cinamiguin","Camiguin","Northern Mindanao","Camiguin","Sagay / Guinsiliban",9.1039,124.7486,"B","S9: ICCs in Sagay and Guinsiliban municipalities, Camiguin Island","mindanao_sulu","5-source",0.343,0,0.02,0.04,0.732,1.042,1.23,0.145,0.102,2.202,499.591,0.449630117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_BukidnonTalaandig","BukidnonTalaandig","Mindanao","Northern Mindanao","Bukidnon","Lantapan (Songco)",8.0167,125.0333,"B","S9: Talaandig 'dwellers of steep places', Bukidnon; S10 LGU Malaybalay","mindanao_sulu","5-source",0.37,0.077,0,0.03,0.547,0.492,0.567,0.083,0.05,0.992,499.598,0.738709918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_BukidnonBinukid","BukidnonBinukid","Mindanao","Northern Mindanao","Bukidnon","Malaybalay City",8.1575,125.1278,"A","S9: ICCs at foot of Mt Sumilao and in Malaybalay town; S10 LGU Malaybalay","mindanao_sulu","5-source",0.263,0.031,0,0.028,0.71,4.57,5.279,0.574,0.285,9.003,499.597,0.490584144,44.29,NA,NA,22.23,NA,NA,1328.7,NA,NA,666.9,NA,NA
"PhMbo_BukidnonHigaonon","BukidnonHigaonon","Mindanao","Northern Mindanao","Bukidnon","Impasugong",8.3,125,"C","S9: one of seven groups of Bukidnon; historically north-central Mindanao coast","mindanao_sulu","5-source",0.305,0,0.01,0,0.774,0.692,0.779,0.097,0.048,1.368,499.596,0.535257901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PhMbo_BukidnonManobo","BukidnonManobo","Mindanao","Northern Mindanao","Bukidnon","Bukidnon (prov. centroid)",8.05,125.1,"C","S9: reside in northcentral Mindanao, one of seven Bukidnon groups","mindanao_sulu","5-source",0.241,0.054,0,0,0.742,0.865,1.03,0.158,0.083,1.812,499.599,0.998053307,74.08,NA,39.34,27.65,NA,16.32,2222.4,NA,1180.2,829.5,NA,489.6
"PhMbo_BukidnonUmayamnon","BukidnonUmayamnon","Mindanao","Northern Mindanao","Bukidnon","Cabanglasan (Pulangi headwaters)",8.15,125.3,"B","S9: headwaters of Pulangi R. (Bukidnon) & Umayam R. (Agusan del Sur)","mindanao_sulu","5-source",0.142,0,0,0.012,0.982,0.375,0.419,0.062,0.053,0.742,499.594,0.796834022,7.03,NA,6.22,2.77,NA,2.21,210.9,NA,186.6,83.1,NA,66.3
"PhMbo_BukidnonTigwahanon","BukidnonTigwahanon","Mindanao","Northern Mindanao","Bukidnon","San Fernando",7.8858,125.3153,"A","S9: ICCs found in the municipality of San Fernando, Bukidnon","mindanao_sulu","5-source",0.127,0.029,0,0.089,0.754,2.055,2.567,0.327,0.217,4.487,499.596,0.630616664,NA,NA,40.48,NA,NA,8.22,NA,NA,1214.4,NA,NA,246.6
