label_full,population,island_group,region,province,locality,latitude,longitude,precision_tier,basis
PhSam_SamaBangingi,SamaBangingi,Sulu,BARMM,Sulu,Banguingui (Tongkil Is.),6.07,121.78,C,S9: coastal Zamboanga peninsula & Sulu archipelago; Balangingi dialect
PhSam_Yakan,Yakan,Basilan,BARMM,Basilan,Lamitan City,6.65,122.1333,C,S9: indigenous group of Basilan island province
PhCre_Chavacano,Chavacano,Mindanao,Zamboanga Peninsula,Zamboanga City,Zamboanga City,6.9214,122.079,A,S9: Chavacano speakers in this study are from Zamboanga City; S10 LGU
PhSub_Subanon,Subanon,Mindanao,Zamboanga Peninsula,Zamboanga City,Zamboanga City,6.9214,122.079,A,S9: Western Subanon ICC of Zamboanga City; S10 LGU Zamboanga City
PhSub_Subanen,Subanen,Mindanao,Zamboanga Peninsula,Zamboanga del Sur,Lakewood,7.8683,123.1206,A,"S9: Southern Subanen ICC of Lakewood municipality, Zamboanga del Sur"
PhDan_Iranun,Iranun,Mindanao,BARMM,Maguindanao,Parang,7.3667,124.2667,B,"S9: coastal Maguindanao - Parang, Matanog, Sultan Kudarat, Sultan Mastura, Barira"
PhDan_Meranao,Meranao,Mindanao,BARMM,Lanao del Sur,Marawi City,8.0,124.2833,A,S9: settled around Lake Lanao; S10 MSU-Marawi / IPDM partner
PhDan_Maguindanaon,Maguindanaon,Mindanao,BARMM,Maguindanao,Datu Piang / Shariff Aguak,6.95,124.43,B,"S9: largest concentration in Dinaig, Datu Piang, Maganoy, Buluan"
PhMns_Mandaya,Mandaya,Mindanao,Davao,Davao Oriental,Baganga / Cateel,7.65,126.5,B,"S9: Manay, Caraga, Baganga, Cateel of Davao Oriental"
PhMns_Mansaka,Mansaka,Mindanao,Davao,Davao del Norte,Tagum City,7.4478,125.8078,A,S9: Tagum City + Compostela Valley towns; S10 LGU Tagum City
PhMns_Kamayo,Kamayo,Mindanao,Caraga,Surigao del Sur,Bislig City,8.2117,126.3181,B,"S9: southern Surigao del Sur, large concentration in Bislig; S10 LGU Lingig"
PhMns_Tagakaolo,Tagakaolo,Mindanao,Davao,Davao Occidental,Malita,6.4167,125.6167,B,"S9: mostly Davao del Sur / Davao Occidental & Sarangani; S10 LGU Malungon, JAS"
PhMns_Kalagan,Kalagan,Mindanao,Davao,Davao del Sur,Padada,6.6333,125.35,A,"S9: Minuslim Kalagan of Padada (DdS), Tagum/Madaum/Matiao, Pantukan, Lupon"
PhMbo_Kagayanen,Kagayanen,Cagayancillo,Mimaropa,Palawan,Cagayancillo,9.5817,121.2072,A,"S9: mainly reside in Cagayancillo, island between Negros and Palawan"
PhMbo_Cinamiguin,Cinamiguin,Camiguin,Northern Mindanao,Camiguin,Sagay / Guinsiliban,9.1039,124.7486,B,"S9: ICCs in Sagay and Guinsiliban municipalities, Camiguin Island"
PhMbo_BukidnonTalaandig,BukidnonTalaandig,Mindanao,Northern Mindanao,Bukidnon,Lantapan (Songco),8.0167,125.0333,B,"S9: Talaandig 'dwellers of steep places', Bukidnon; S10 LGU Malaybalay"
PhMbo_BukidnonBinukid,BukidnonBinukid,Mindanao,Northern Mindanao,Bukidnon,Malaybalay City,8.1575,125.1278,A,S9: ICCs at foot of Mt Sumilao and in Malaybalay town; S10 LGU Malaybalay
PhMbo_BukidnonHigaonon,BukidnonHigaonon,Mindanao,Northern Mindanao,Bukidnon,Impasugong,8.3,125.0,C,S9: one of seven groups of Bukidnon; historically north-central Mindanao coast
PhMbo_BukidnonManobo,BukidnonManobo,Mindanao,Northern Mindanao,Bukidnon,Bukidnon (prov. centroid),8.05,125.1,C,"S9: reside in northcentral Mindanao, one of seven Bukidnon groups"
PhMbo_BukidnonUmayamnon,BukidnonUmayamnon,Mindanao,Northern Mindanao,Bukidnon,Cabanglasan (Pulangi headwaters),8.15,125.3,B,S9: headwaters of Pulangi R. (Bukidnon) & Umayam R. (Agusan del Sur)
PhMbo_BukidnonTigwahanon,BukidnonTigwahanon,Mindanao,Northern Mindanao,Bukidnon,San Fernando,7.8858,125.3153,A,"S9: ICCs found in the municipality of San Fernando, Bukidnon"
PhMbo_BukdinonMatigsalug,BukdinonMatigsalug,Mindanao,Northern Mindanao,Bukidnon,San Fernando / Kitaotao,7.8,125.2,B,"S9: Matigsalug in San Fernando & Kitaotao, Bukidnon"
PhMbo_DavaoMatigsalug,DavaoMatigsalug,Mindanao,Davao,Davao City,Marilog District,7.3333,125.3333,B,"S9: Marilog, Calinan, Paquibato districts, Davao City"
PhMbo_AtaManobo,AtaManobo,Mindanao,Davao,Davao del Norte,Talaingod,7.5333,125.6167,B,"S9: Kapalong, Asuncion, Talaingod (DdN) and Paquibato district, Davao City"
PhMbo_ManoboTagabawa,ManoboTagabawa,Mindanao,Davao,Davao del Sur,Bansalan / Sta Cruz (Mt Apo foothills),6.83,125.3,B,"S9: foothills of Mt Apo - Toril District, Bansalan, Kapatagan, Sta Cruz"
PhMbo_OvuManuvo,OvuManuvo,Mindanao,Davao,Davao City,Marilog District,7.3333,125.3333,A,"S9: the Uvo Manuvu included in this study are from Marilog district, Davao City"
PhMbo_ManoboAgusan,ManoboAgusan,Mindanao,Caraga,Agusan del Sur,Bunawan (Agusan Marsh),8.1667,125.9833,B,S9: Agusan del Sur/Norte & Surigao del Norte; Agusan Marsh significant
PhMbo_Manguangan,Manguangan,Mindanao,Davao,Davao de Oro,Monkayo,7.8167,126.05,C,S9: Manobo-related ICCs of Davao del Norte province
PhMbo_Dibabaon,Dibabaon,Mindanao,Davao,Davao de Oro,Montevista,7.7333,126.0667,C,S9: Manobo-related ICCs of Davao del Norte province
PhMbo_ManoboRK,ManoboRK,Mindanao,Caraga,Surigao del Sur,"Brgy Rajah Cabungsuan, Lingig",8.0367,126.355,A,"S9: resides in Brgy Rajah Cabungsuan, Lingig, Surigao del Sur; S10 LGU Lingig"
PhMbo_ManoboIlianen,ManoboIlianen,Mindanao,Soccsksargen,Cotabato,Carmen / Kabacan,7.2,124.8,B,"S9: northern Cotabato province; S10 LGU Kabacan, Cotabato"
PhMbo_Lambanguian,Lambanguian,Mindanao,BARMM,Maguindanao,Upi / South Upi,6.87,124.22,A,"S9: most Lambangian ICCs in Upi and South Upi, Maguindanao; S10 LGU both"
PhMbo_ManoboDulangan,ManoboDulangan,Mindanao,Soccsksargen,Sultan Kudarat,Kalamansig / Lebak,6.62,124.06,A,"S9: Esperanza, Kalamansig, Lebak, Sen Ninoy Aquino, Palimbang; S10 LGU Lebak+Kalamansig"
PhMbo_ManoboSarangani,ManoboSarangani,Mindanao,Soccsksargen,Sarangani,Glan,5.8167,125.2,A,"S9: ICCs in Glan, Sarangani and Jose Abad Santos, Davao Occ.; S10 LGU both"
PhBil_BagoboKlata,BagoboKlata,Mindanao,Davao,Davao City,Calinan / Baguio District,7.16,125.42,B,"S9: Catalunan, Tugbok, Calinan and Baguio districts of Davao City"
PhBil_BlaanKoronadal,BlaanKoronadal,Mindanao,Soccsksargen,South Cotabato,Koronadal City,6.5031,124.8469,A,"S9: Koronadal Blaan (To Kalon); S10 LGU Koronadal, South Cotabato"
PhBil_BlaanSarangani,BlaanSarangani,Mindanao,Soccsksargen,Sarangani,Malungon,6.2861,125.2836,A,"S9: Blaan of Sarangani province; S10 LGU Malungon, Sarangani"
PhBil_Obo,Obo,Mindanao,Soccsksargen,South Cotabato,Lake Sebu,6.22,124.7069,A,S9: Obo resides in the municipality of Lake Sebu
PhBil_Tboli,Tboli,Mindanao,Soccsksargen,South Cotabato,T'boli (poblacion),6.2183,124.8233,A,"S9: ICCs in Lake Sebu and Tboli municipalities; S10 LGU Tboli, South Cotabato"
PhBil_Teduray,Teduray,Mindanao,BARMM,Maguindanao,Upi / South Upi,6.95,124.2333,A,S9: mainly in the municipalities of Upi and South Upi; S10 LGU both
PhSan_Sangil,Sangil,Sarangani Is.,Davao,Davao Occidental,Sarangani (Balut/Sarangani Is.),5.4,125.4,C,"S9 fig grouping; S10 LGU Jose Abad Santos, Davao Occidental"
PhNeg_AytaAmbala,AytaAmbala,Luzon,Central Luzon,Bataan,Dinalupihan,14.8783,120.4653,B,S9: Ayta Ambala in Bataan (Dinalupihan) and Zambales towns
PhNeg_AytaMagbukon,AytaMagbukon,Luzon,Central Luzon,Bataan,Abucay / Bagac (Bataan),14.68,120.44,B,"S9: found exclusively in Bataan - Abucay, Bagac, Balanga, Limay, Mariveles, Morong, Orani, Orion, Samal"
PhNeg_AytaMag-indi,AytaMag-indi,Luzon,Central Luzon,Pampanga,Floridablanca / Porac,15.03,120.53,B,"S9: ICCs in Floridablanca and Porac, Pampanga and San Marcelino, Zambales"
PhNeg_AytaMag-antsi,AytaMag-antsi,Luzon,Central Luzon,Pampanga,"Sapang Bato, Angeles City",15.1667,120.5333,A,"S9: Bamban/Capas Tarlac, Zambales towns, Mabalacat, Sapang Bato Angeles City; S10 City College of Angeles"
PhNeg_AytaSambal,AytaSambal,Luzon,Central Luzon,Zambales,Botolan,15.29,120.03,B,S9: ICCs found in Botolan and Cabangan municipalities of Zambales
PhNeg_AgtaDupaningan,AgtaDupaningan,Luzon,Cagayan Valley,Cagayan,"Palaui Island, Sta. Ana",18.55,122.13,A,S9: Dupaningan in this study are the Agta ICC of Palaui Island (Palaui Agta)
PhNeg_AgtaLabin,AgtaLabin,Luzon,Cagayan Valley,Cagayan,Lal-lo,18.2,121.65,A,"S9: Agta Labin participants included in the study are from Lal-lo, Cagayan"
PhNeg_AttaRizal,AttaRizal,Luzon,Cagayan Valley,Cagayan,Rizal,17.9167,121.45,A,"S9: the Atta ICC included in this study are from Rizal, Cagayan"
PhNeg_AgtaMaddela,AgtaMaddela,Luzon,Cagayan Valley,Quirino,Maddela,16.3667,121.6667,B,S9: Agta Maddela (locally Agta Ilagen) of Quirino province
PhNeg_AgtaCasiguran,AgtaCasiguran,Luzon,Cagayan Valley,Quirino,"Brgy Dissimungal, Nagtipunan",16.2,121.65,A,"S9: participants are from Barangay Dissimungal, Nagtipunan, Quirino"
PhNeg_Arta,Arta,Luzon,Cagayan Valley,Quirino,Nagtipunan (with Agta Casiguran ICC),16.25,121.65,A,S9: Arta mostly live together with the Agta Casiguran ICCs of Quirino
PhNeg_AgtaDumagat,AgtaDumagat,Luzon,Calabarzon,Quezon,General Nakar,14.7514,121.5561,A,"S9: the Agta Dumagat ICC included in the study is from General Nakar, Quezon"
PhNeg_AgtaRemontado,AgtaRemontado,Luzon,Calabarzon,Rizal,"Brgy Daraitan, Tanay",14.6333,121.4333,A,"S9: the Agta Remontado ICC in this study is from Brgy Daraitan, Tanay, Rizal"
PhNeg_AgtaLopez,AgtaLopez,Luzon,Calabarzon,Quezon,"Brgy Villa Espina, Lopez",13.8833,122.26,A,"S9: Agta Lopez resides in Barangay Villa Espina, Lopez, Quezon"
PhNeg_AgtaManide,AgtaManide,Luzon,Bicol,Camarines Norte,Jose Panganiban,14.2903,122.6939,A,"S9: Manide participants in this study are from Jose Panganiban, Camarines Norte"
PhNeg_AgtaIriga,AgtaIriga,Luzon,Bicol,Camarines Sur,Iriga City (Mt Iriga / Lake Buhi W),13.4239,123.4111,B,"S9: named after Mt Iriga, Camarines Sur; Lake Buhi West"
PhNeg_AgtaIsarog,AgtaIsarog,Luzon,Bicol,Camarines Sur,Mt Isarog (Goa / Tigaon),13.6592,123.3767,B,"S9: named after Mt Isarog, Camarines Sur"
PhNeg_AgtaIraya,AgtaIraya,Luzon,Bicol,Camarines Sur,Buhi (Mt Iraya / Lake Buhi E),13.4333,123.5167,B,"S9: Inagta of Mt Iraya, Lake Buhi East, Camarines Sur"
PhNeg_AgtaMatnog,AgtaMatnog,Luzon,Bicol,Sorsogon,Matnog,12.5875,124.0833,A,S9: label coined after the municipality where they reside
PhNeg_AgtaBulusan,AgtaBulusan,Luzon,Bicol,Sorsogon,Bulusan,12.7508,124.1333,A,S9: label coined after the municipality where they reside
PhNeg_AtiPanay,AtiPanay,Panay,Western Visayas,Iloilo,"Nagpana, Barotac Viejo",11.05,122.8,A,"S9: Ati ICC of Nagpana, Barotac Viejo, Iloilo; S10 LGU Barotac Viejo"
PhNeg_AtiNegros,AtiNegros,Negros,Western Visayas,Negros Occidental,"Marikudo, Isabela",10.2044,122.9908,A,"S9: Ati ICC of Marikudo, Isabela, Negros Occidental"
PhNeg_Batak,Batak,Palawan,Mimaropa,Palawan,N. Puerto Princesa (Tanabag/Langogan),10.3,119.05,C,S9: the Negrito group of Palawan Island; <500 individuals
PhNeg_Mamanwa,Mamanwa,Mindanao,Caraga,Agusan del Norte,Kitcharao / Santiago,9.45,125.6,C,"S9: ICCs in Surigao del Norte, Surigao del Sur and Agusan del Norte"
