language,I,blood,bone,breast,come,die,dog,drink,ear,eye,fire,fish,full,hand,hear,horn,knee,leaf,liver,louse,mountain,name,new,night,nose,one,path,person,see,skin,star,stone,sun,tongue,tooth,tree,two,water,we,you
BINUKID,si7ak,lang3sa,tul7an,susu,NA,NA,asu,inum,taliNa,mata,hapuy,s3da7,punu7,alima,paliman,NA,bu73l,dahun,atay,tuma,bubuNan,Nadan,bag7u,dal3man,iduN,sabuwa,dalan,3taw,aha7,langgit,bitu73n,batu,NA,dila7,Nip3n,kayu,daduwa,wahig,sikuy,sikaw
BONGGI,ou,rah,tulagn~,dudu,miataN,mati,asu,eNinum,NA,mata,afi,sadak,NA,fi,kidoNor,NA,NA,doudn~,ati,NA,NA,eNardn~,baru,raobi,iduN,isa,NA,lama,NA,kubal,bitudn~,batu,NA,dila,kuhud,NA,dua,beig,sesia,NA
BONTOC GUINAANG,sak73n,dala,toN7al,soso,NA,NA,aso,inom,kol3N,mata,apoy,gad3w,napno,lima,d3N3l,NA,pow3g,tobo,agt3y,koto,bilig,Nadan,balo,labi,3N3l,3sa,dalan,ipogaw,ila,kopkop,talaw,bato,NA,dila,bab7a,ka73w,dowa,danom,datako,sik7a
BROOKES POINT PALAWAN,aku,dugu7,tulaN,NA,NA,pat3y,id3N,minum,t3liNa,mata,apuy,s3ra7,NA,lima,kiNeg,NA,NA,d37un,at3y,kutu,bukid,Naran,bagu,gebi,3ruN,NA,dalan,tau,NA,kubal,bitu3n,batu,3ld3w,dila7,nip3n,kayu,dua,danum,kami,k3
BUHI,qaku,ruguq,tuqwaN,susu,qabut,giraqan,qayam,qinum,taliNa,mata,kalayu,qisraq,punuq,kamit,riNig,suNiy,tuwud,dawun,qatay,kutu,bukid,Naran,bagqu,gaqbi,quruN,qisad,dagan,taqu,kita,kublit,bitiqwin,batu,qaldaw,dilaq,Nipin,kawuy,duwa,tubig,kita,kamu
BUHINON ALBAY BICOLANO,ako,rogo7,to7waN,soso,NA,g3ra7an,ayam,inom,taliNa,mata,kalayo,isra7,NA,kam3t,r3N3g,NA,NA,dawon,atay,koto,NA,Naran,bago,ga7bi,oroN,3sad,tinampo,tawo,s3x3N,kolit,bito7on,bato,NA,rira7,Nip3n,NA,dowa,tobig,kita,ika
BUKIDNON BINUKID,yan7a,laN3sa,tul7an,NA,dini,minatay,asu,inum,taliNa,mata,hapuy,isda7,napunu7,alima,paliman,suNay,bu7ol,dahon,atay,lisa7,buntod,Naran,bag7u,daluman,iduN,sabuwa,dalan,3taw,aha7,laNgit,bituon,batu,aldaw,dila7,Nipun,kayu,daruwa,wahig,yaNkuy,yaNka
BUTUANON,ako,dugo,bukog,dugh~an,kansani,patay,gady~a,moinum,taliNa,mata,kayo,isda,NA,alima,moduNog,NA,NA,dahon,atay,kuyamad,NA,Nan,bago,dum,iloN,isa,dan,tao,makita,panit,bituon,bato,NA,dila,Nipon,NA,duwa,tubig,kita,ikaw
CAIJIA,Nuo glottocode: caij1234,ch~r,kuituo,mi,xu,sr,kh~ui,an,nikh~a,nicr,fai,xuN,p3u,suo,th~i,ko,NA,NA,sanka,sei,tip3u,mi,Sin,sa,bikei,yi,ho,xuoch~uo,kien,p3u,Sisu,ca,ien,crta,ch~eipei,so,ta,sr,Nuo,nu
CANIPAAN PALAWAN,aku,dugu7,tulaN,NA,NA,pat3y,id3N,minum,taliNa,mata,apuy,s3da7,NA,lima,kineg,NA,NA,d37un,at3y,kutu,bukid,Naran,bagu,gebi,3duN,NA,dalan,ta7u,NA,NA,bitu3n,batu,ald3w,dila7,nip3n,kayu,dua,danum,kami,NA
CASIGURAN NEGRITO,sak3n,digi,tulaN,gisap,NA,mate,aso,uminum,taleNa,mata,apuy,ikan,NA,kamet,bati,NA,tud,don,NA,NA,buk3d,Nahan,bigo,NA,duNus,esa,delan,NA,eta,NA,bitun,bito,bilag,dila,Nip3n,kEyo,dua,d3num,sikitam,siko
CEBUANO,ako,dugu7,bukug,dugh~an,anh~i,matay,iro7,inum,daluNg~an,mata,kalayu,isda,NA,kamut,duNug,NA,NA,dahun,atay,kutu,NA,Nalan,bagu,gabi7i,iluN,usa,dalan,tawu,tanaw,panit,bitun,batu,NA,dila,Nipun,NA,duha,tubig,kita,ikaw
CENTRAL BICOLANO,ako,dugo7,tulaN,susu,abot,pakagadan,ayam,inum,taliNa,mata,kalayo,sira7,NA,kamut,daNog,NA,NA,dahon,katoy,kuto,NA,paNaran,bag7~o,baNui,duNo7,saro,tinamp~odalan,tawo,hiliN,kublit,bitun,gapu7,NA,dila7,Nipon,NA,duwa,tubig,kita,ika
CENTRAL BONTOC,sak7~3n,dala,tuN7~al,susu,ali,mat3y,asu,inum,kul3N,mata,apuy,gadiw,NA,lima,daN3l,NA,NA,tubu,agt3y,kutu,NA,Nadan,balu,labi,3N3l,mi,dalan,ipugaw,ila,lapdut,talaw,batu,NA,dila,bab7~a,NA,duwa,danum,dataku,sikoa
CENTRAL DUSUN,ioho,raha7,tulaN,susu,rikot,patai,tasu,inum,toliNo,mato,tapui,sada7,NA,loNon,roNou,NA,NA,roun,lusou,kutu,NA,Naran,wagu,otuoN,toduN,iso,dalan,tulun,kito,kulit,rombituon,watu,NA,dila7,nipon,NA,duo,waig,iato,ia7
CENTRAL TAGBANWA,ako,tahik,duhi,tuto,NA,patay,kiriN,inim,taliNa,mata,apoy,daiN,pigpig,alima,bati,sirbato,tod,daon,kandat,kayamad,bukid,Nalan,bago,dilim,uroN,tam,NA,katawan,intul,kulit,bitukon,bato,aldaw,dila,Niti,kayo,dua,wai,kita,ka
CUYONON,ako,dugo7,tulan,it3n,NA,NA,ty~u7,inom,taliNa,mata7,kalayo7,isda7,NA,lima,bati7,NA,NA,dawn,atay,kuto7,NA,aran,bago7,gabi7,iloN,sakabilog,dalan,tau7,kita7,kulit,biton,bato7,NA,dila7,ip3n,NA,darwa,tubig,kita,ikaw
DARAGA,qaku,duguq,tuqlaN,susu,qabut,giran,qayam,qinum,taliNa,mata,kalayu,siraq,punuq,kamit,diNig,suNay,tu7ud,dawun,qatay,kutu,bulud,Naran,baqgu,gaqbi,quruN,qisad,dalan,tawu,kita,kulit,bituqun,batu,qaldaw,dilaq,Nipin,kawuy,duwa,tubig,kita,kamu
DUMAGAT CASIGURAN,sak3n,dige7,tulaN,gisat,NA,NA,aso7,uminom,taliNa7,mata7,apoy,ikan,putat,kam3t,bati7,NA,tod,don,agte7,kuto7,buked,Nahen,bigu7,k3l3p,duNos,Esa7,dilan,tolay,meta7,kulet,biton,bito7,NA,dila7,Nip3n,kayo7,3duwa7,dinom,sikitam,siko
DUPANINGAN AGTA,hikan,digi7,tulaN,gisat,umaNay,malugulug,asu7,magroNroN,taliNa,mata7,gaNatan,padut,mabiyag,kamat,matiman,saduk,guwalab,don,agtay,kutu7,tagilEtel,nagEn,bigu7,kalap,duNas,Esa,dilan,agta7,ma7Ent~a,gadaN,pusiyan,rusu7,sENg~it,dila7,Nipan,kayu7,duwa,dinom,hikitam,hikaw
ENGLISH,Ei,bl3d,bon,brEst,k3m,dEi,dag,driNk,ir,Ei,fEir,fiS,ful,hEnd,hir,horn,ni,lif,liv3r,laus,%maunt3n,nem,nu,nEit,noz,w3n,pE8,%prs3n,si,%skin,star,ston,s3n,t3N,tu8,tri,tu,wat3r,wi,yu
ESKAYAN,narin,alw~atis,giro,palda,lari,modowati,plodo,ojirim,klabara,sim,polo7iso,%pir,NA,dapami,yant~isi,NA,ilkdo,saliti,was,hoko,NA,laNg~is,tibil,kloper,jiomint~ir,oy,rakilan,bolto,mosimsati,%pil,pisakol,sabana,%astro,golitas,prind~ido,NA,%tri,koly~ar,arh~itika,samo
ESTONIAN,mina,veri,kont,rind,tule,sure,koer,jo,korv,silm,tuli,kala,tais,kasi,kul,%sarv,%polv,%let,maks,tai,magi,%nimi,us,o,nina,uks,te,inimene,nage,nak,tat,kivi,paike,kel,hammas,pu,kaks,vesi,meie,sina
FINNISH,%minE,veri,luu,%rinta,tule,kuole,koira,juo,korva,silmE,tuli,kala,tEysi,kEsi,kuule,%sarvi,polvi,%lehti,maksa,tEi,vuori,%nimi,uusi,y3,nenE,iksi,tie,%ihminen,nEke,iho,tEhti,kivi,aurinko,kieli,%hammas,puu,kaksi,%vesi,%me,%sinE
FUZHOU CHINESE,Nuai,haik,kouk,neiN,li,8i,kh~eiN,ch~iok,Nai,meikciu,hui,Ni,muaN,ch~iu,th~iaN,koik,kh~akph~uth~au,nuok,kaN,8aikmo,8aN,miaNcei,8iN,maNmuo,ph~ei,8uok,lou,neiN,kh~aN,ph~ui,8iN,8uokth~au,likth~au,ch~uiliek,Nai,ch~iu,naN,cui,NuaikoneiN,ne
GADDANG,ikkanak,ada,tulaN,gatat,NA,NA,atu,minum,layag,mata,apuy,koriraw,nap3nnwen,laNalay,madiN3g,NA,atud,adon,al,kutu,kulud,Nan,bawu,gapi,iyoN,antet,dallan,tolay,itan,gaddaN,bitun,batu,NA,dila,Nipan,kayo,addwa,danum,ikkanetam,ikka
HANUNOO,aku,dugu7,but7ul,susu,balik,matay,idu7,uminum,tuli,mata,apuy,isda7,NA,kamaN,dunug,NA,NA,labuN,atay,kutu,NA,Naran,bad7u,yabi,iruN,usa,dalan,tawu,makakit,tarik,pamgasan,batu7,NA,dila7,Nipun,NA,duwa,danum,kita,kawu
HIGAONON BINUKID,yan7a,laN3sa,tul7an,NA,dini,minatay,asu,inum,taliNa,mata,hapuy,isda7,napunu7,alima,paliman,suNay,bu7ol,dahon,atay,lisa7,buntod,Naran,bag7u,daluman,iduN,sabuwa,dalan,3taw,aha7,laNgit,bituon,batu,aldaw,dila7,Nipun,kayu,daruwa,wahig,yaNkuy,yaNka
HUNGARIAN,en,ver,Cont,mel,jin,hal,kuTa,in,fil,sem,tiz,hal,tele,kez,hallan,sarv,terd,level,maj,teti,hegy~,nev,ij,ej,or,egy~,it,ember,lat,bir,Cillag,ki,nap,5elv,fog,fa,ketti,viz,mi,te
IBALOI,sih7~kak,shala,pohfel,soso,kala,metey,aso,inom,taNida,mata,afoy,NA,NA,takdai,iteneN,NA,NA,buloN,altey,NA,NA,Naran,bado,davi,edeN,sahei,shalan,to,asen,bedat,talao,bato,NA,shila,saNi,NA,shuwa,shanom,sih7~katedy~o,sih7~kam
IBANAG,so7,daga,tulaN,susu,umarani,matay,kitu,uminum,taliNa,mata,afi,sira,NA,lima,magina,NA,NA,don,agal,lita,NA,Nagan,bagu,gabi,iguN,taday,dalan,tolay,masiNan,tabi7,bitun,batu,NA,zila,Nipan,NA,duwa,danum,sitam,sikaw
IDAAN,aku,nd~a7,tulaN,tusu,mosob,matay,asu,minum,toliNo,mato,apuy,pait,NA,opi7,kiNog,NA,NA,daun,atay,kutu,NA,naran,bagku,gabpi,iruN,sa7,dalan,ulun,mata,kulit,botun,batu,NA,dila7,nipon,NA,duo,sapa7,kito,ikaw
IFUGAO AMGANAD,ha77on,dala,tuNal,palagpag,NA,NA,kahu,uminum,iNa,mata,apuy,dolog,napnu,ta7le,doNol,NA,lulug,tubu,alte,utu,billid,Nadan,pa77ala,nahadom,oloN,oha,awon,tagu,tigo,7up7up,bittuwon,batu,NA,dila,boba,kayiw,duwa,litiN,dita77u,he77a
IFUGAO BATAD,ha77in,dala,toNal,huhu,NA,NA,kahu,inum,iNa,mata,apuy,NA,napnu,Namay,doNol,NA,lulug,paya7,oltay,utu,duntug,Nadan,pa77amma,mahdom,oloN,goha,wanti,tagu,tigon,up7up,bittuan,batu,NA,dila,baba,ayiw,duwa,danum,ditu7u,he77a
IFUGAO BAYNINAN,ha77en,dala,tuNal,palagpag,NA,NA,kahu,uminum,iNa,mata,apuy,dolog,napnu,ta7le,doNlon,NA,lulug,tubu,olte,utu,bilid,Nadan,balu,labi,oloN,goha,awon,tagu,tigon,up7up,bittuwon,batu,NA,dila,buba,kayiw,duwa,leteN,ditu7u,he77a
ILOKANO,siak,dara,tulaN,suso,umay,matay,aso,inom,lapayag,mata,apoy,ikan,NA,ima,deNeg,NA,NA,buloN,dalem,kuto,NA,nagan,baro,rabi,agoN,masa,dalan,tao,kita,kudil,bituen,bato,NA,dila,Nipen,NA,dua,danum,datayo,sika
ILONGOT KAKIDUGEN,si7ak,matg3 m,tu7laN,tutu,NA,NA,atu,inum,taliNa,mata,gapuy,guduN,p3nu,gima,d3N3g,NA,NA,buN,agsi,kutu,b3silid,Nad3n,b3gu,masi,3g3N,sit,b3nuwa,tu7u,buya,kalib,pand3k,d3pgat,NA,limut,b37b3,kiyu,duwa,d3num,sikisi,sika
INIBALOI,si7kak,Cala,pok3l,soso,NA,NA,aso,inom,tangida,mata,apoy,pa7id3N,napno,takday,kid3N,NA,pow3g,boloN,alt3y,koto,contog,Naran,bado,kal3bian,3d3N,sak3y,calan,to7o,on7an,bidat,talaw,bato,NA,Cila,saNi,kiy3w,Cowa,Canom,si7kito,si7kam
IRANUN,aku,rugu7,tulan,susu,miakauma,miatai,asu,inem,taNila,mata,apui,seda7,NA,lima,neg,NA,NA,raun,atai,kutu,NA,Naran,bagu,magabi,NiruN,isa,lalan,tau,ilai,upis,bitu7un,watu,NA,dila7,Nipen,NA,dua,aig,sekita,ta
IRIGA,qaku,ruguq,tulaN,susu,qabut,giraqan,qayam,qinum,taliNa,mata,kalayu,qisiraq,punuq,kamit,riNig,suNuy,tuwud,dawun,qatay,kutu,kulud,Naran,bagu,gabqi,quruN,qisad,dalan,tawu,bayad,kulit,bituqun,batu,qaldiw,riraq,Nipin,kawuy,darawa,tubig,kita,kamu
ISNAG,iya7,daga,tulaN,gatat,umb~et,natay,atu,inum,taliNa,mata,apuy,sisida,napnu,ima,magina,sagud,utud,adon,agtay,kutu,bant~ay,Nagan,baru,gabi,iguN,isa,dalen,tolay,nasiNan,lublub,bituwan,batu,mata,dila,Nipan,kayu,duwa,danum,dakami,ikaw
ISNEG,iya7,daga,tulaN,gatat,NA,NA,atu,uminum,taliNa,mata,apuy,sissida,napnu,ima,magi7na,NA,utud,adon,agtay,kutu,bantay,Nagan,bagu,gabi,iguN,isa,dalen,tolay,masiNan,lublub,bittuwan,batu,NA,dila,Nipan,kayu,duwa,danum,da7tada,ikaw
ITAWIT,yEkEn,dEhE,tulEN,susu,umEN,metEy,Etu,inum,dErENgEN,mEtE,Efi,dilis,NA,imE,magina,NA,NA,don,EgEl,kutu,NA,nEhEn,bEhu,gEbi,iyuN,isE,dElEn,tolEy,mEsiNEn,gEdEN,bitwEn,bEtu,NA,hilE,NipEn,NA,duE,dEnum,ikEmi,ikEw
ITBAYATEN BATANES ISLANDS,yak3n,raya7,tu7gaN,rahdah,NA,NA,titu7,uminum,tilwan,mata7,hapuy,amuN,mapnu7,lima7,man7adN3y,NA,tuhud,vuguN,atay,kutu7,tukun,Naran,va7yu7,a7g3p,muhdan,a7sa7,ragan,tawu7,tiiban,kulit,vitu3n,vatu7,NA,rila7,5ip3n,kayuh,duha7,ranum,yat3n,imu7
ITNEG BINONGAN,diyak3n,dala,tol7aN,soso,NA,NA,aso,ominom,iNa,ata,apoy,lam3s,napno,ima,mana7ag,NA,pow3g,tobo,agt3y,koto,bilig,Nalan,NA,labi,3N3l,issa,dadan,ta7o,mas3Nan,kopsit,bitow3n,bato,NA,dila,Nip3n,kayo,dowa,danom,ditayo,dika
IVATAN BATANES ISLANDS,yak3n,raya7,to7haN,soso7,NA,NA,cito7,ominom,tadiny~a7,mata7,apoy,amoN,mapno7,tanoro7,adN3y3n,NA,tood,vohoN,atay,koto7,tokon,Naran,va7yo7,ma7h3p,momo7dan,asa7,panahanan,tao7,mavoya7,kodit,vitoh3n,bato7,NA,rida7,5ip3n,kayo7,dadoa7,danom,yat3n,imo7
JAPANESE,wataSi,Ci,hone,mune,ku,Sinu,inu,nomu,mimi,me,hi,uo,miCita,te,kiku,cuno,hiza,kono ha,NA,NA,yama,na,ataraSi,yo,hana,hitocu,komiCi,hito,mi,kawa,hoSi,iSi,%taiyo,Sita,ha,ki,futacu,mizu,wareware,anata
KADAZAN,zou,za,tuhaN,susu,mikot,matai,tasu,inumon,tohiNo,mato,tapui,sada,noponu,pahad,koNo,saNau,totud,lon,toNkovizau,kutu,nuhu takavas,Nan,vagu,sodop,toduN,iso,lahan,tuhun,kokito,kuhit,tombituon,vatu,tadau,diha,nipon,kazu,duvo,vaig,toko,ko
KAGAYANEN,a,l3N3sa,b3k3g,susu,iliN,patay,ayam,in3m,taliNa,mata,apuy,sida7,panu,blukan,mati,suNay,bu7ul,daun,atay,kutu,bukid,Naran,bag7~u,kil3m,iruN,isy~a,dalan,itaw,kita,laNg~it,bitu7un,batu,adlaw,dila7,Nip3n,kauy,darawa,waig,kay,ka
KALAGAN,aku,dugu7,pisa7,susu,NA,NA,idu7,in3m,taliNa,mata,atulun,isda7,nyatmo7,biktin,d3N3g,NA,bukubuku,dawun,atay,bab3N,buntud,Nalan,bagu,gabi,iluN,sambuk,dalan,utaw,kita7,kindal,bitun,batu,NA,dila7,untu,kawuy,duwa,tubig,kitadun,ikaw
KALINGA GUINAANG,sa7on,dala,tuN7al,susu,NA,NA,asu,uminum,iNa,ata,apuy,lamos,napnu,ima,doNlon,NA,puwog,tubu,agtoy,utu,bilig,Nadan,a77opya,labi,oNol,ossa7an,dalan,tagu,ilan,oblit,bituwon,batu,NA,dila,5ipon,kayu,duwa,danum,dita7o,si7a
KALINGA LIMOS,sakon,dala,tul7~aN,susu,datoN,natoy,asu,inum,iNa,ata,apuy,ikan,napnu,taklay,doNol,sakgud,puwog,tubu,agtoy,kutu,bateled,Nadan,bagu,labi,oNol,osa,dalan,tagu,ila,kupsit,bituwon,batu,init,dila,Nipon,kayu,duwa,danum,dikami,sika
KALLAHAN KAYAPA PROPER,hi7gak,dala,pukil,huhu,NA,NA,ahhu,man7innum,Nila,mata,apuy,pa7ill3N,napnu,taklay,d3dN3l3n,NA,puw3g,buluN,alt3y,kutu,duntug,Nadan,ballu,malabi,3l3N,hak3y,dalan,tu7u,un7an,b3lat,talaw,batu,NA,dila,haNi,kallahan,duwa,danum,hi7gatayu,hi7gam
KALLAHAN KELEYQIQ IFUGAO,hi7gak,kuheyaw,tu7Nal,huhu7,NA,NA,ahhu7,inum,taNila7,mata7,apuy,deleg,penu7,taklay,deNel,NA,pukel,buluN,altey,kutu7,duntug,Nadan,baluh,hileN,eleN,hakey,dalan,tu7u7,aN7aN,belat,bittuwen,batu7,NA,dila7,Nipen,keyew,dewwa7,danum,hi7gatyu7,hi7gam
KANKANAY NORTHERN,sak7in,basa,iNit,soso,NA,NA,aso,ominom,iNa,mata,apoy,ikan,napno,l3d3N,d3NN3,NA,pow3g,tobo,at3y,koto,bilig,Nadan,balo,labi,373N,3sa,da7an,ipogaw,ila,kollop,talaw,bato,NA,dila,bab7a,ka7iw,dowa,danom,datako,sik7a
KAPAMPANGAN,aku,daya7,binyas,susu,dataN,mate,asu,inum,balugbug,mata,api7,asan,NA,gamat,damdaman,NA,NA,buluN,ate,kutu,NA,lagyu7,bayu,beyi,aruN,metuN,dalan,tau,ikit,balat,batwin,batu,NA,dila7,ipan,NA,adwa7,danum,itamu,ika
KINARAY A,ako,dugo,tul7~an,NA,NA,napatay,ayam,inom,taliNa,mata,kalayo,isda,NA,alima,NA,busina,tuhod,NA,atay,NA,bukid,NA,bag7~o,gabi,iroN,sara,NA,tawo,NA,panit,biton,NA,adlaw,dila,Nipon,kahoy,NA,tubig,kita,ikaw
KOREAN,na,pi,by~o,kasum,oda,Cuk,kE,masi,kw~i,nun,pul,mul kogi,Can,son,tut,bul,murup,iph~,kan,i,san,irum,sEroun,pam,ko,han,kil,saram,po,gopjil,py~ol,tol,hE,hy~o,i,namu,tul,mul,uri,taNsin
LEGAZPI,qaku,duguq,tuqlaN,susu,qabut,gadan,qayam,qinum,taliNa,mata,kalayu,siraq,panuq,kamut,daNug,suNay,tuhud,dahun,katuy,kutu,bulud,Naran,baqgu,baNgi,duNuq,saruq,dalan,tawu,qiliN,qunit,bituqun,gapuq,qaldaw,dilaq,Nipun,kahuy,duwa,tubig,kita,kamu
LIBON,qaku,ruguq,tulaN,susu,qabut,goran,qayam,qinum,taliNa,mata,kalayu,qisoraq,punuq,kamot,roNog,suNoy,tuwud,dawun,qatay,kutu,qampas,Naran,bagu,gabi,quruN,qosad,dalan,tawu,kita,kulit,bituqun,batu,qaldaw,riraq,Nipon,kawuy,duwa,tubig,kita,kamu
LIVE,minama,ver,lyu,rinda,tulda,kuolyo,pin,juodyo,kuora,NA,tul,kala,tEuc,keic,NA,NA,puola,lyed,maksa,NA,mEg,nim,uc,ie,nana,ikS,rekriek,riStiN,nEdyo,nogyo,NA,kiuvkiu,pEvaliki,kyel,ambaz,pu,kakS,veic,meg,sinasa
MAGUINDANAO,Eku,lugu,tulan,susu,aNay,matay,asu,inum,taNila,mata,apuy,seda,NA,lima,pakikineg,NA,NA,lawn,atay,kutu,NA,Nala,bEgu,magabi,NiluN,isa,lalan,taw,ilay,upis,bitun,watu,NA,dila,Nipen,NA,duwa,ig,NA,ka
MAMANWA,ha7o,dogo7,b3k3g,soso,NA,NA,ido7,in3m,taliNa,mata,gabok,ida7,katmo7,alima,bati7,NA,tohod,dahon,pato,toma,boboN,Naran,bag7o,kahabzan,iroN,isa,dalan,ta7o,kita,kindal,bito7on,bato,NA,dila7,Nip3n,liwa7an,dowa,sapa7,kita,iko
MANOBO ATA,sikanak,laNosa,bokog,susu,NA,NA,asu,inum,taliNa,mata,hapuy,Nalap,kaponu7,bolad,dinog,NA,bu7ol,doun,atoy,kutu,bubuNan,Nadan,iam,ma7usilom,iduN,isa,dalan,otow,pitow,laplap,bitu7on,batu,NA,dilo7,Nipon,kayu,dadawa,woig,sikanta,sikoykow
MANOBO DIBABAWON,si7ak,laN3sa,b3k3g,dudu7,NA,NA,idu7,in3m,taliNa,mata,kayu,isda7,nap3nu7,b3ad,din3g,NA,aib,d3hun,at3y,kutu,untud,Nadan,baya7,kadukil3m,simud,s3,daan,3t3w,kita,kindaa,bitu73n,batu,NA,dila7,Nip3n,kayu,dadua,w3hig,kin3w,sikuna
MANOBO ILIANEN,si7ak3n,l3N3sa,tulan,susu,NA,NA,asu,inum,t3liNa,mata,apuy,s3ra7,n3p3nu7,b3lad,rin3g,NA,bu73l,dawun,at3y,kutu,bubuNan,Naran,b3hu,m3rukil3m,iruN,s3b3ka,dalan,3t3w,kita,lundis,bitu73n,batu,NA,dila7,Nip3n,kayu,d3ruwa,wayig,sikita,sikuna
MANOBO KALAMANSIG COTABATO,ak3n,d3panug,tu73lan,susu,NA,NA,tuyaN,in3m,t3liNa,mata,apuy,uton,n3p3nu7,b3lad,din3g,NA,lulud,da7un,atay,kutu,g3tan,Nadan,magtu,sig3p,iduN,s3ba73n,dalan,3taw,ilag,kunul,bitu73n,batu,NA,dila7,Nip3n,kayu,duwa,way3g,kita,kuna
MANOBO SARANGANI,si7ak,dipanog,to7lan,soso,NA,NA,toyaN,inom,toliNa,mata,apoy,ikan,pono7,bolad,dinog,NA,bo7ol,dawon,atay,koto,bontod,Nadan,kaliN,dolom,idoN,sobad,dalan,otaw,kita7,kindal,bito7on,bato,NA,dila7,Nipon,kayo,dowa,wayog,sikitadon,sikona
MANOBO TIGWA,si7ak,laN3sa,tul7an,susu,NA,NA,asu,inum,taliNa,mata,hapuy,Nalap,nap3nu7,b3lad,din3g,NA,bu73l,d3un,at3y,kutu,bubuNan,Nadan,bag7u,madusil3m,iduN,sab3ka,dalan,3t3w,kita,laNgit,bitu73n,batu,NA,dil37,Nip3n,kayu,dadua,w3ig,sikanta,sik3ik3w
MANOBO WESTERN BUKIDNON,si7ak,l3N3sa,tulan,susu,NA,NA,asu,inum,t3liNa,mata,hapuy,pa7it,p3nu7,b3lad,din3g,NA,bu73l,dahun,at3y,kutu7,buntud,Nazan,b3gu,dukil3m,izuN,s3v3ha,dalan,3t3w,aha7,lundis,bitu73n,batu,NA,dila7,Nip3n,kuyu,d3zuwa,wahig,sikit3w,sik3w
