concept,AGTA,AKLANON,ATTA PAMPLONA,BALANGAW,BALANGINGI SAMA,BALANGINGI SAMA (1),BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BINUKID,BONGGI,BONTOC GUINAANG,BROOKES POINT PALAWAN,BUHI,BUHINON ALBAY BICOLANO,BUKIDNON BINUKID,BUTUANON,CAIJIA,CANIPAAN PALAWAN,CASIGURAN NEGRITO,CEBUANO,CENTRAL BICOLANO,CENTRAL BONTOC,CENTRAL DUSUN,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBALOI,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ISNEG,ITAWIT,ITBAYATEN BATANES ISLANDS,ITNEG BINONGAN,IVATAN BATANES ISLANDS,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KALLAHAN KELEYQIQ IFUGAO,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAGUINDANAO,MAMANWA,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MARINDUQUE TAGALOG,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MOLBOG 2,MONGOLIAN,MORO MAGINDANAU,NAGA,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PANGUTARAN SAMA (1),PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 1,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANUA ABORLAN,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TALAANDIG BINUKID,TAMBUNAN DUSUN,TAUSUG,TAUT BATU,TBOLI TAGABILI,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,FINALLIG,HILIGAYNON,INABAKNON,IRARALAY IVATAN,ISAMORONG IVATAN,IVASAY IVATAN,KANKANAEY,LIMOS KALINGA,MANDAYAN BOSO,MANDAYAN CARAGA,MANDAYAN ISLAM PISO,MANSAKA 2,PROTO SOUTHERN MINDANAO,SINAUNA,SOUTHERN KALINGA
fire,opuy,kaxayu,api,apoy,api,api,su,apuy,lifoh,lifo,hapuy,afi,apoy,apuy,kalayu,kalayo,hapuy,kayo,fai,apuy,apuy,kalayu,kalayo,apuy,tapui,apoy,kalayo7,kalayu,apoy,gaNatan,fEir,polo7iso,tuli,tuli,hui,apuy,apuy,hapuy,tiz,afoy,afi,apuy,apuy,apuy,apuy,apoy,gapuy,apoy,apui,kalayu,apuy,apuy,Efi,hapuy,apoy,apoy,hi,tapui,apuy,atulun,apuy,apuy,apuy,apuy,apoy,api7,kalayo,pul,kalayu,kalayu,tul,apuy,gabok,hapuy,kayu,apuy,apuy,apoy,hapuy,hapuy,aturun,api,apoi,qapuy,kalayo,apuy,tol,apuy,apuy,GaL,apuy,kalayu,karayu,kalayu,kalayu,apuy,po7ol,api,api,7apuy,apuy,kalayo,kalayu,api,apoy,putuN,putuN,on,NA,yimpon,dol3,kalayu,kalayu,apoy,fuego,gapoy,gapuy,kayajo,apuy,ofih,apoy,7apuy,apuy,apuy,hapuy,tapui,kayuh,7apuy,ohu7,apuy,afey,ateS,iSitu,kayo,ebut,afuy,pw~ego,apoy,apoy,apoi,NA,Clayo,api,apoy,apoy,apoy,apoy,apuy,atulun,atulun,atuun,atulun,lipuh,apuy,NA
fish,ikan,isda7,sira,g3diw,daiN,daiN,arrain,s3da7,nalaf,nalaf,s3da7,sadak,gad3w,s3ra7,qisraq,isra7,isda7,isda,xuN,s3da7,ikan,isda,sira7,gadiw,sada7,daiN,isda7,siraq,ikan,padut,fiS,%pir,kala,kala,Ni,koriraw,isda7,isda7,hal,NA,sira,pait,dolog,NA,dolog,ikan,guduN,pa7id3N,seda7,qisiraq,sisida,sissida,dilis,amuN,lam3s,amoN,uo,sada,sida7,isda7,lamos,ikan,pa7ill3N,deleg,ikan,asan,isda,mul kogi,siraq,qisoraq,kala,seda,ida7,Nalap,isda7,s3ra7,uton,ikan,Nalap,pa7it,kaya,dayiN,seda7,qisdaq,isda,ugadiw,kal,soda7,s3da7,caGas,seda,siraq,qisdaq,siraq,qisraq,s3da7,sira,daiN,daiN,s3da7,s3da7,isda,isda,daiN,ikan,kina7,kina7,ka,deyN,isda7,gueli3,silaq,qisdaq,seda7,peskado,soda7,s3da7,isda,NA,uton 7el,isda,s3da7,s3da7,ian,isda7,sada,ista7,s3da7,uton,papait,sedo7,bal3k,dg,isda,kena,ikan,peskaw,amoN,amoN,sada,kiaCiw,isda,dayiN,amoN,amoN,amoN,nigay,ikan,kaya,NA,NA,kaya,nalap,isda7,ukaCiw
full,moponnu,NA,napannu,napno,ponno7,ponno7,beterik,p3gp3g,fno7,fno7,punu7,NA,napno,NA,punuq,NA,napunu7,NA,p3u,NA,NA,NA,NA,NA,NA,pigpig,NA,punuq,putat,mabiyag,ful,NA,tais,tEysi,muaN,nap3nnwen,NA,napunu7,tele,NA,NA,NA,napnu,napnu,napnu,NA,p3nu,napno,NA,punuq,napnu,napnu,NA,mapnu7,napno,mapno7,miCita,noponu,panu,nyatmo7,napnu,napnu,napnu,penu7,napno,NA,NA,Can,panuq,punuq,tEuc,NA,katmo7,kaponu7,nap3nu7,n3p3nu7,n3p3nu7,pono7,nap3nu7,p3nu7,itmu7,NA,NA,NA,NA,NA,paSksy~e,ponu7,NA,puth~iN,napunu,panuq,buta,punuq,punuq,NA,NA,NA,NA,NA,NA,NA,punu7,ap3nno7,napno7,NA,mapene7,peN,NA,NA,d3ev3s,panuq,punuq,NA,yeno,omponu7,mp3nu7,NA,panu,hnok,puno,NA,punu,punuk,punu7,NA,hipu7,NA,NA,NA,besor,dolugun,NA,NA,NA,pannu,ly~e*o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yamabiyag,biyag,biyag,biyag,NA,NA,NA
hand,komot,alimah,lima,limo,taNan,taNan,esku,alima,sigal,sigal,alima,fi,lima,lima,kamit,kam3t,alima,alima,suo,lima,kamet,kamut,kamut,lima,loNon,alima,lima,kamit,kam3t,kamat,hEnd,dapami,kasi,kEsi,ch~iu,laNalay,kamaN,alima,kez,takdai,lima,opi7,ta7le,Namay,ta7le,ima,gima,takday,lima,kamit,ima,ima,imE,lima7,ima,tanoro7,te,pahad,blukan,biktin,ima,taklay,taklay,taklay,l3d3N,gamat,alima,son,kamut,kamot,keic,lima,alima,bolad,b3ad,b3lad,b3lad,bolad,b3lad,b3lad,b3kt3n,taNan,lima,kamay,kamot,ima,kady~,loNon,lima,Gar,lima,kamut,kamut,kamut,kamit,alima,lima,taNan,taNan,lima,lima,kamot,kamut,taNan,gam3t,lima,lima,koN,taNan,alima,g3et3,kamut,kamut,elima,mano,komot,beNk3n,alima,balad,sig3l,kamay,7alima,alima,kalima7,alima,longon,limah,NA,sigtl~,kalind~u7,kuwonon,el,yd,kamot,%taNan,kamat,ma*o,pamamahadan,panorowan,luNon,lima,kamut,kamb~ag,lima,tanoro,tanoro,takay,ima,b3kt3n,buktun,b3kt3n,b3kt3n,sig3l,alima,ima
hear,modoNog,nakabati7,maginna,doNal,kale,kale,encun,bati7,liN3,liN3,paliman,kidoNor,d3N3l,kiNeg,riNig,r3N3g,paliman,moduNog,th~i,kineg,bati,duNug,daNog,daN3l,roNou,bati,bati7,diNig,bati7,matiman,hir,yant~isi,kul,kuule,th~iaN,madiN3g,dunug,paliman,hallan,iteneN,magina,kiNog,doNol,doNol,doNlon,deNeg,d3N3g,kid3N,neg,riNig,magina,magi7na,magina,man7adN3y,mana7ag,adN3y3n,kiku,koNo,mati,d3N3g,doNlon,doNol,d3dN3l3n,deNel,d3NN3,damdaman,NA,tut,daNug,roNog,NA,pakikineg,bati7,dinog,din3g,rin3g,din3g,dinog,din3g,din3g,d3N3g,ke,makineg,dinig,magbati,doNo8,mary~ams,doNog,deNeg,sonso,kinug,daNug,duNug,matiq,riNig,bati7,deNuel,ke,ke,eNeg,kineg,bati7,banawbanaw,kale,mal3N37,diNir37,makadiNir37,taN,kale,bati7,gowl3,daNug,batiq,kiNeg,oir,mokinoNog,m3d3N3g,duNog,dinag,muNol,dinig,geneg,g3n3g,d3N3l,paliman,korongou,magduNug,kiNeg,muNol,doNog,bohol,iSitmek,SmX,pamati,takale,sim,si*ti,mamiziN,adNey,kruNau,Congron,mati,kali,amizeN,adNey,adNey,deNen,magngol,y3d3N3g,dunug,d3N3g,d3N3g,liNu,landap,Congron
horn,NA,NA,NA,NA,tand~uk,tand~uk,adar,NA,NA,NA,NA,NA,NA,NA,suNiy,NA,suNay,NA,ko,NA,NA,NA,NA,NA,NA,sirbato,NA,suNay,NA,saduk,horn,NA,%sarv,%sarvi,koik,NA,NA,suNay,sarv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,suNuy,sagud,NA,NA,NA,NA,NA,cuno,saNau,suNay,NA,NA,sakgud,NA,NA,NA,NA,busina,bul,suNay,suNoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sy~ura,tand~uk,NA,iwir,siduN,suNuy,suNay,suNay,suNuy,NA,NA,NA,NA,NA,NA,NA,suNay,NA,NA,NA,NA,NA,NA,NA,%Cy~oervi3,suNay,suNay,NA,kw~erno,NA,NA,NA,NA,NA,saNay,NA,NA,NA,suNay,NA,NA,NA,NA,NA,siduN,bonuz,qrn,NA,NA,tagud,kw~erno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
knee,tud,NA,duluN,goNo,tu7ut,tu7ut,belaun,tuud,bukal,bukal,bu73l,NA,pow3g,NA,tuwud,NA,bu7ol,NA,NA,NA,tud,NA,NA,NA,NA,tod,NA,tu7ud,tod,guwalab,ni,ilkdo,%polv,polvi,kh~akph~uth~au,atud,NA,bu7ol,terd,NA,NA,NA,lulug,lulug,lulug,NA,NA,pow3g,NA,tuwud,utud,utud,NA,tuhud,pow3g,tood,hiza,totud,bu7ul,bukubuku,puwog,puwog,puw3g,pukel,pow3g,NA,tuhod,murup,tuhud,tuwud,puola,NA,tohod,bu7ol,aib,bu73l,lulud,bo7ol,bu73l,bu73l,tu7ud,NA,NA,NA,NA,NA,ely~,bulanbulan tukud,NA,uwtug,alub,tuhud,tuhud,tuhud,tu7ud,NA,NA,NA,NA,NA,NA,NA,tuhud,tu7ut,to7ol,buku,buku,kraN,NA,NA,boelv3,tuhud,tuhud,NA,rodiya,glulud,dlulud,NA,NA,bukol,tuhod,NA,tu7ud,tuud,bu7ol,NA,tuhud,NA,NA,NA,etur,diz,brk,NA,NA,tud,rudily~a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tu7ud,tu7ud,tuud,tu7ud,NA,NA,NA
leaf,don,dahun,don,tubu,dahun,dahun,hosto,daun,do7on,do7on,dahun,doudn~,tobo,d37un,dawun,dawon,dahon,dahon,NA,d37un,don,dahun,dahon,tubu,roun,daon,dawn,dawun,don,don,lif,saliti,%let,%lehti,nuok,adon,labuN,dahon,level,buloN,don,daun,tubu,paya7,tubu,buloN,buN,boloN,raun,dawun,adon,adon,don,vuguN,tobo,vohoN,kono ha,lon,daun,dawun,tubu,tubu,buluN,buluN,tobo,buluN,NA,iph~,dahun,dawun,lyed,lawn,dahon,doun,d3hun,dawun,da7un,dawon,d3un,dahun,da7un,dawun,ra7on,dahun,dahon,tubu,lopa,do7un,d37un,nawCh~,laun,dahun,dahun,dahun,dawun,daun,buloN,daun,daun,da7un,d37un,dahon,dahun,daun,boloN,dauN,dauN,hla,down,dahon,%last3,dahun,dahun,deon,oha,daon,doon,dahon,daun,do7un,dahon,da7un,da7un,k3lad,dahon,roun,dahun,d37un,do7un,daun,da7un,yeprak,NA,dahon,dawen,don,ohas,vohoN,bohoN,dun,tofo,dahon,dahon,vohoN,vohoN,vohoN,tobo,tubu,NA,NA,NA,NA,da7un,hayin,tufu
liver,ogol,atay,agal,agtoy,atay,atay,gibel,atay,atoy,atay,atay,ati,agt3y,at3y,qatay,atay,atay,atay,sanka,at3y,NA,atay,katoy,agt3y,lusou,kandat,atay,qatay,agte7,agtay,liv3r,was,maks,maksa,kaN,al,atay,atay,maj,altey,agal,atay,alte,oltay,olte,dalem,agsi,alt3y,atai,qatay,agtay,agtay,EgEl,atay,agt3y,atay,NA,toNkovizau,atay,atay,agtoy,agtoy,alt3y,altey,at3y,ate,atay,kan,katuy,qatay,maksa,atay,pato,atoy,at3y,at3y,atay,atay,at3y,at3y,atay,atay,atay,qatay,atay,agtoy,maksa,atoy,at3y,iLig,atay limpa,katuy,qatay,qatay,qatay,atay,altey,atay,atay,7atay,at3y,atay,7atay,atay,agtay,ate,ate,kliam,atey,atay,libri3,katuy,qatay,atey,igado,gatoy,gatay,atay,NA,katay,atay,7atay,atay,kandas,atay,tokowiyau,atay,7at3y,katay,aNk~ayaw,tagah,%karajiyer,kbd,atay,bua7,agal,igaw,atay,atayi,lakaiau,agtoy,atay,atay,atayi,atay,atay,atey,agtoy,atay,atay,atay,atay,atay,atay,agtoy
louse,kutu,kutuh,kutu,oto,kutu,kutu,zorri,kutu,kutu7,kutu,tuma,NA,koto,kutu,kutu,koto,lisa7,kuyamad,sei,kutu,NA,kutu,kuto,kutu,kutu,kayamad,kuto7,kutu,kuto7,kutu7,laus,hoko,tai,tEi,8aikmo,kutu,kutu,lisa7,teti,NA,lita,kutu,utu,utu,utu,kuto,kutu,koto,kutu,kutu,kutu,kutu,kutu,kutu7,koto,koto7,NA,kutu,kutu,bab3N,utu,kutu,kutu,kutu7,koto,kutu,NA,i,kutu,kutu,NA,kutu,toma,kutu,kutu,kutu,kutu,koto,kutu,kutu7,kutu,kutu,koto,kutu,kuto,kutu,sy~i,kutu,kutu,pos,NA,kutu,kutu,kutu,kutu,kutu,kuto,kutu,kutu,kutu,kutu,koto,tuma,kutu,koto,kutu7,kutu7,Sro,kutu,koto,diki3,kutu,kutu,kuto,pioho,gotu,gutu,kuto,NA,kutuh,kuto,kutu,kutu,tut7,lusa7,lios,kutuh,NA,kutuh,kutu,kuwor,bit,NA,tuma,kutu,tuma,%kutu,toma,bigaw,NA,koto,NA,kuspad,koto,koto,NA,koto,kutu,kutu,kutu,kutu,kutu,kutu,kutu,utu
mountain,bogetoy,NA,puddul,bilig,bullud,bullud,mendi,bulud,bulul,bulul,bubuNan,NA,bilig,bukid,bukid,NA,buntod,NA,tip3u,bukid,buk3d,NA,NA,NA,NA,bukid,NA,bulud,buked,tagilEtel,%maunt3n,NA,magi,vuori,8aN,kulud,NA,buntod,hegy~,NA,NA,NA,billid,duntug,bilid,NA,b3silid,contog,NA,kulud,bant~ay,bantay,NA,tukun,bilig,tokon,yama,nuhu takavas,bukid,buntud,bilig,bateled,duntug,duntug,bilig,NA,bukid,san,bulud,qampas,mEg,NA,boboN,bubuNan,untud,bubuNan,g3tan,bontod,bubuNan,buntud,b3tay,NA,NA,NA,NA,NA,panda,bukid,bukid,uL,palau,bukid,burud,bulud,bukid,NA,NA,NA,NA,bukid,bukid,NA,bakuyud,buud,bakil,NA,bud37,No,NA,NA,Cy~ak3,bulud,bulud,NA,sero,bontod,b3ntud,NA,pabuNan,bulul,bundok,bukid,bukid,bukid,buntod,NA,buud,bukid,NA,NA,menitey,da silsilesi,gbl,NA,NA,bakulud,%bu*dak,NA,NA,bukit,NA,NA,NA,NA,NA,NA,NA,NA,b3tay,butay,butay,b3tay,NA,NA,NA
name,Nogan,Naxan,Nagan,Nadon,on,on,izen,Naran,dagit,dagit,Nadan,eNardn~,Nadan,Naran,Naran,Naran,Naran,Nan,mi,Naran,Nahan,Nalan,paNaran,Nadan,Naran,Nalan,aran,Naran,Nahen,nagEn,nem,laNg~is,%nimi,%nimi,miaNcei,Nan,Naran,Naran,nev,Naran,Nagan,naran,Nadan,Nadan,Nadan,nagan,Nad3n,Naran,Naran,Naran,Nagan,Nagan,nEhEn,Naran,Nalan,Naran,na,Nan,Naran,Nalan,Nadan,Nadan,Nadan,Nadan,Nadan,lagyu7,NA,irum,Naran,Naran,nim,Nala,Naran,Nadan,Nadan,Naran,Nadan,Nadan,Nadan,Nazan,aran,awon,Naran,paNalan,Naran,Nadan,ly~em,Nadan,Nadan,nir,Nalan,Naran,Naran,Naran,Naran,Naran,Naran,on,on,Naran,Naran,Nayan,tawag,oon,Nalan,aleN,aleN,inai,NA,Naran,%nom3,Nalan,Naran,Naran,nombre,Nalan,Nalan,Nayan,Nadan,boluy,paNalan,Naran,Naran,aran,Naran,ngaran,Nan,Naran,boluy,galan,dawet,isim,Sm,Naran,alen,nagan,nomb~re,Naran,Naran,naran,ngadan,Nalan,aron,Naran,Naran,Naran,Nadan,ngadan,galan,galan,gaan,galan,dagit,Naran,ngaCan
new,bagu,bag7~uh,bagu,ka77amma,baha7u,baha7u,berri,ba7gu,falami,falami,bag7u,baru,balo,bagu,bagqu,bago,bag7u,bago,Sin,bagu,bigo,bagu,bag7~o,balu,wagu,bago,bago7,baqgu,bigu7,bigu7,nu,tibil,us,uusi,8iN,bawu,bad7u,bag7u,ij,bado,bagu,bagku,pa77ala,pa77amma,balu,baro,b3gu,bado,bagu,bagu,baru,bagu,bEhu,va7yu7,NA,va7yo7,ataraSi,vagu,bag7~u,bagu,a77opya,bagu,ballu,baluh,balo,bayu,bag7~o,sEroun,baqgu,bagu,uc,bEgu,bag7o,iam,baya7,b3hu,magtu,kaliN,bag7u,b3gu,bagu,bahau,bego,bagu,bago,kaka8a,od,bagu,ba7gu,Sin,bagu,baqgu,baqgu,bagqu,baqgu,bagu,balo,bahu,bahu,ba7gu,ba7gu,bag7o,bag7u,baha7u,bayo,buru,buru,neo,bahau,badyo,or3,bagqu,bagqu,bago,nuevo,bogu,b3gu,bago,mant~u,lomih,bago,ba7gu,ba7gu,baklu7,bag7u,wagu,ba7guh,ba7gu,lomih,agu,antu,yeni,Xd8,bago,ba7ahu,bagu,nw~ebo,vayo,bayo,agu,fiaro,bago,bag7~o,vayo,vayo,vayo,balo,bagu,bagu,NA,bagu,bagu,palami,ba7yu,ara
night,hiklom,gabi7ih,gabi,labi,saNom,saNom,gau,d3l3m,butaN,butaN,dal3man,raobi,labi,gebi,gaqbi,ga7bi,daluman,dum,sa,gebi,NA,gabi7i,baNui,labi,otuoN,dilim,gabi7,gaqbi,k3l3p,kalap,nEit,kloper,o,y3,maNmuo,gapi,yabi,daluman,ej,davi,gabi,gabpi,nahadom,mahdom,labi,rabi,masi,kal3bian,magabi,gabqi,gabi,gabi,gEbi,a7g3p,labi,ma7h3p,yo,sodop,kil3m,gabi,labi,labi,malabi,hileN,labi,beyi,gabi,pam,baNgi,gabi,ie,magabi,kahabzan,ma7usilom,kadukil3m,m3rukil3m,sig3p,dolom,madusil3m,dukil3m,gabi,bahaNi,gagaoi7i,gabqi,gabi,labi,vy~e,gobi,gebi,Sunu,magabi,baNgi,gaqbi,gabqi,gaqbi,d3l3m,labi,saNom,saNom,gebi7i,gebi,gab7i,gab7i,saNom,yabi,NA,r3bi,koN maN,saNom,kalap,3y3,baNgi,gabqi,gebi,noCe,gobi,g3bii,duyom,dukilam,kifuh,gabi,NA,d3l3m,labii,dal3man,totuong,duum,gebi7i,kifuh,dond~om,buteN,geje,ll,gabi,saNem,gabi,noCe,mahep,ahep,putoN,lafi,gabi,saNom,ahep,misarisari,mahep,labi,labi,gabi,gabi,gabi,gabi,butaN,abi,lafi
nose,iguN,iluN,iguN,aNal,uN,uN,sudur,uruN,iluN,iluN,iduN,iduN,3N3l,3ruN,quruN,oroN,iduN,iloN,bikei,3duN,duNus,iluN,duNo7,3N3l,toduN,uroN,iloN,quruN,duNos,duNas,noz,jiomint~ir,nina,nenE,ph~ei,iyoN,iruN,iduN,or,edeN,iguN,iruN,oloN,oloN,oloN,agoN,3g3N,3d3N,NiruN,quruN,iguN,iguN,iyuN,muhdan,3N3l,momo7dan,hana,toduN,iruN,iluN,oNol,oNol,3l3N,eleN,373N,aruN,iroN,ko,duNuq,quruN,nana,NiluN,iroN,iduN,simud,iruN,iduN,idoN,iduN,izuN,iluN,samo,iroN,qiluN,iroN,oNo8,Salxka,oduN,3duN,xamar,iluN,duNuq,qiluN,qiluN,quruN,uruN,eleN,NA,NA,7aruN,3duN,iloN,7iluN,uung,baloNo,iluN,iluN,moh,uN,oroN,5ueni3,duNuq,qiruN,edoN,naris,suN,suN,iloN,NA,iluN,iloN,7uruN,uruN,uruN,id3N,todung,iluN,7aduN,iluN,aduN,iruN,burun uj,apu,iroN,uN,iguN,naris,momodan,momodan,adoN,angor,iloN,uroN,momodan,momodan,mohed,eN,ongol,iluN,iluN,iluN,iluN,iluN,a7doN,ongor
one,tatakdoy,isaxah,tadday,3ho,isa,isa,bat,3sa,satu,satu,sabuwa,isa,3sa,NA,qisad,3sad,sabuwa,isa,yi,NA,esa,usa,saro,mi,iso,tam,sakabilog,qisad,Esa7,Esa,w3n,oy,uks,iksi,8uok,antet,usa,sabuwa,egy~,sahei,taday,sa7,oha,goha,goha,masa,sit,sak3y,isa,qisad,isa,isa,isE,a7sa7,issa,asa7,hitocu,iso,isy~a,sambuk,ossa7an,osa,hak3y,hakey,3sa,metuN,sara,han,saruq,qosad,ikS,isa,isa,isa,s3,s3b3ka,s3ba73n,sobad,sab3ka,s3v3ha,isa,damb~uwa7,isa,qisa,isad,osan,fka,isa7,isa7,nik,isa,saruq,saduq,qisad,qisad,3sa,sakey,dakayo7,dakayo7,7isaq,isa,isa,7isa,isa,miha,sa,sa,moi,isa,isaN,akt3,saluq,sayuq,isa7,uno,sala bok,sala,isa,sabad,sotuh,isa,73sa,3sa,tasa7,sabuwa,iso,hambu7uk,isa7,mso7,ditakaw,uno,bir,aXd,usa,isa7,tata,uno,asa,asa,NA,osa,isa,NA,asa,asa,asa,esE,osa,isa,isa,isa,isa,satu,isa7,osa
path,dolan,daxan,dalan,dalan,lan,lan,basabide,dalan,dalon,dalan,dalan,NA,dalan,dalan,dagan,tinampo,dalan,dan,ho,dalan,delan,dalan,tinamp~odalan,dalan,dalan,NA,dalan,dalan,dilan,dilan,pE8,rakilan,te,tie,lou,dallan,dalan,dalan,it,shalan,dalan,dalan,awon,wanti,awon,dalan,b3nuwa,calan,lalan,dalan,dalen,dalen,dElEn,ragan,dadan,panahanan,komiCi,lahan,dalan,dalan,dalan,dalan,dalan,dalan,da7an,dalan,NA,kil,dalan,dalan,rekriek,lalan,dalan,dalan,daan,dalan,dalan,dalan,dalan,dalan,daran,lan,lalan,daqan,dalan,ka8sa,yan,dalan,dalan,cam,lalan,dalan,daran,dalan,raran,dalan,NA,NA,NA,dalan,dalan,dayan,dayan,laan,daan,daleN,daleN,troaN,lan,dalan,balka,dalan,dalan,dalan,senda,dalan,dalan,dayan,dalan,lan,dan,dalan,dalan,dalan,dalan,ralan,daan,dalan,lan,dalan,aguwon,keCi yolu,ntb,dalan,lalan,daddaman,se*dero,rarahan,rarahan,teNaio,Caran,dalan,lalan,rarahan,rarahan,rahan,danan,dalan,NA,NA,NA,NA,NA,bakas,Caran
person,toloy,tawuh,tolay,tatagu,a7a,a7a,gizaki,taw,to,to,3taw,lama,ipogaw,tau,taqu,tawo,3taw,tao,xuoch~uo,ta7u,NA,tawu,tawo,ipugaw,tulun,katawan,tau7,tawu,tolay,agta7,%prs3n,bolto,inimene,%ihminen,neiN,tolay,tawu,3taw,ember,to,tolay,ulun,tagu,tagu,tagu,tao,tu7u,to7o,tau,tawu,tolay,tolay,tolEy,tawu7,ta7o,tao7,hito,tuhun,itaw,utaw,tagu,tagu,tu7u,tu7u7,ipogaw,tau,tawo,saram,tawu,tawu,riStiN,taw,ta7o,otow,3t3w,3t3w,3taw,otaw,3t3w,3t3w,utaw,jama,taw,tawu,tawo,tagu,loma5,jolama,NA,xuN,lanas,tawu,tahu,tawu,tawu,taw,to,a7a,a7a,ta7u,taw,tawo,tawu,a7a,tao,taw,taw,Ne,NA,tawo,%almeCy~3,tawu,tawu,taw,persona,gotow,g3tau,tawo,manubu,ta7uh,tao,taw,taw,tau7,3taw,tulun,ta7uh,ta7u,ta7uh,ulun,etew,sah3s,adm,tawo,a7a,tawlay,he*te,tao,tao,NA,tako,tao,a7a,tao,tao,tawo,ipogaw,tagu,utaw,utaw,utaw,utaw,ta7u,ata,taku
see,mo7ito,kita7,masiNan,ilo,and~a7,and~a7,ikusi,l37gan,t373n,t373n,aha7,NA,ila,NA,kita,s3x3N,aha7,makita,kien,NA,eta,tanaw,hiliN,ila,kito,intul,kita7,kita,meta7,ma7Ent~a,si,mosimsati,nage,nEke,kh~aN,itan,makakit,aha7,lat,asen,masiNan,mata,tigo,tigon,tigon,kita,buya,on7an,ilai,bayad,nasiNan,masiNan,mEsiNEn,tiiban,mas3Nan,mavoya7,mi,kokito,kita,kita7,ilan,ila,un7an,aN7aN,ila,ikit,NA,po,qiliN,kita,nEdyo,ilay,kita,pitow,kita,kita,ilag,kita7,kita,aha7,kita7,kita,ilay,kita,magkita,ilan,5ayems,lotog,l3t3g,uci,ilay,hiliN,taqnaw,kita,kita,l3gan,neNneN,nda,nda,l3t3g,NA,pagtan7aw,batyag,3nda7,makit,NA,makasilaw,honai,nda,kita7,vuen3,hiliN,qimug,biri7,ve,moktoNow,meta7,kita,kita,mton,tiNin,l3t3g,l3t3g,ita7,aha7,kokito,kimita7,NA,mton,kito,NA,g3r,amr,kita,kite,ita,mira,cita,NA,intoN,ilaon,kita,kulaw,NA,voya,tib,ilaen,umila,yakita7,yakita7,matanaw,kita7,t3n,mi7sul7aN,umila
