concept,AGTA,AKLANON,ARTA,ATTA PAMPLONA,BAJAU WEST COAST,BALANGAW,BALANGINGI SAMA,BANTON BANTOANON,BASQUE,BATAK PALAWAN,BILAAN KORONADAL,BILAAN SARANGANI,BONGGI,BONTOC GUINAANG,BUHI,BUKIDNON BINUKID,BUTUANON,CAIJIA,CEBUANO,CENTRAL TAGBANWA,CUYONON,DARAGA,DUMAGAT CASIGURAN,DUPANINGAN AGTA,ENGLISH,ESKAYAN,ESTONIAN,FINNISH,FUZHOU CHINESE,GADDANG,HANUNOO,HIGAONON BINUKID,HUNGARIAN,IBANAG,IDAAN,IFUGAO AMGANAD,IFUGAO BATAD,IFUGAO BAYNINAN,ILOKANO,ILONGOT KAKIDUGEN,INIBALOI,IRANUN,IRIGA,ISNAG,ITAWIT,ITNEG BINONGAN,JAPANESE,KADAZAN,KAGAYANEN,KALAGAN,KALINGA GUINAANG,KALINGA LIMOS,KALLAHAN KAYAPA PROPER,KANKANAY NORTHERN,KAPAMPANGAN,KINARAY A,KOREAN,LEGAZPI,LIBON,LIVE,MAMANWA,MANIDE,MANOBO ATA,MANOBO DIBABAWON,MANOBO ILIANEN,MANOBO KALAMANSIG COTABATO,MANOBO SARANGANI,MANOBO TIGWA,MANOBO WESTERN BUKIDNON,MANSAKA,MAPUN,MARANAO,MASBATENYO,MINANGALI LOWER TANUDAN KALINGA,MOKSHA,MOLBOG,MONGOLIAN,MORO MAGINDANAU,NORTHERN CATANDUANES,NORTHERN SORSOGON,OAS,PALAWANO BATAK,PANGASINAN,PANGUTARAN SAMA,PROTO PALAWAN,QUEZON PALAWAN,ROMBLOMANON 2,SAMAL,SAMBAL BOTOLAN,SANGIL SARANGANI ISLANDS,SEDANG,SIBUTU SOUTHERN SAMA,SOGODNIN BORACAY,SOUTH SAAMI,SOUTHERN CATANDUANES,SOUTHERN SORSOGON,SOUTHWEST PALAWANO,SPANISH,SUBANON SIOCON,SUBANUN SINDANGAN,SURIGAONON,TAGABAWA,TAGABILI,TAGALOG,TAGBANWA ABORLAN,TAGBANWA KALAMIAN,TAUSUG,TIMUGON MURUT,TIRURAY,TURKISH,UGARITIC,UMIRAY DUMAGET AGTA,WARAY WARAY,YAKAN,YOGAD,ZAMBOANGUENO,IMOROD,BABUYAN,BISAYA SABAH,CAPIZNON,FINALLIG,HILIGAYNON,INABAKNON,KALAGAN KAAGAN,KANKANAEY,MANDAYAN BOSO,MANDAYAN ISLAM PISO,SINAUNA,SOUTHERN KALINGA
burn,NA,NA,NA,NA,NA,NA,NA,NA,erre,NA,NA,NA,NA,NA,NA,sunog,NA,NA,NA,NA,NA,NA,NA,NA,b3rn,NA,pole,pala,NA,NA,tutud,sunog,eg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moe,NA,NA,NA,NA,NA,NA,NA,silab,NA,tEu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,paloms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cou,NA,NA,NA,NA,NA,NA,kema,NA,NA,NA,NA,NA,sunogin,NA,NA,NA,NA,NA,yak,NA,NA,NA,NA,NA,NA,asleb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cloud,NA,NA,NA,NA,NA,NA,NA,NA,hodei,NA,NA,NA,NA,NA,NA,gabon,NA,NA,NA,NA,NA,NA,NA,NA,klaud,NA,pilv,pilvi,NA,NA,paNanud,gabon,felhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kumo,NA,NA,NA,NA,NA,NA,NA,lula7,NA,kurun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kovol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sok,NA,NA,NA,NA,NA,NA,nube,NA,NA,NA,NA,NA,alapap,NA,NA,NA,NA,NA,bulut,NA,NA,NA,NA,NA,NA,cinalab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cold,NA,NA,NA,NA,NA,NA,NA,NA,odolgabe,NA,NA,NA,NA,NA,NA,matinu7,NA,NA,NA,NA,NA,NA,NA,NA,kold,NA,kulm,ky~lmE,NA,NA,maramig,matinu7,hideg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,samui,NA,NA,NA,NA,NA,NA,NA,marimla,NA,Can,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kely~my~e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hoNiu,NA,NA,NA,NA,NA,NA,frio,NA,NA,NA,NA,NA,malamig,NA,NA,NA,NA,NA,soyuk,NA,NA,NA,NA,NA,NA,ahen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
come,NA,abut,NA,NA,NA,NA,paitu,NA,etorri,NA,NA,NA,miataN,NA,qabut,dini,kansani,xu,anh~i,NA,NA,qabut,NA,umaNay,k3m,lari,tule,tule,li,NA,balik,dini,jin,umarani,mosob,NA,NA,NA,umay,NA,NA,miakauma,qabut,umb~et,umEN,NA,ku,mikot,iliN,NA,NA,datoN,NA,NA,dataN,NA,oda,qabut,qabut,tulda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitu,danon,magdayo,umali,sams,kuan,iri,sia,qabut,qabut,ratiN,mu7atkaka7ini,laka,"t""ka",NA,NA,7abut,NA,NA,NA,NA,pitu,hindon,boet3,qabut,qabut,ato7,veni,NA,NA,dali7,sadun,NA,datiN,NA,NA,NA,datoN,aNey,gel,atw,NA,kanhi,pitu,NA,be*i,mayi,ay,temuloi,malakat,omali,kadto,da7ito,NA,omali,NA,NA,NA,CumatoN
die,NA,matay,mapatid,NA,matay,NA,patay,NA,hil,NA,NA,NA,mati,NA,giraqan,minatay,patay,sr,matay,patay,NA,giran,NA,malugulug,dEi,modowati,sure,kuole,8i,NA,matay,minatay,hal,matay,matay,NA,NA,NA,matay,NA,NA,miatai,giraqan,natay,metEy,NA,Sinu,matai,patay,NA,NA,natoy,NA,NA,mate,napatay,Cuk,gadan,goran,kuolyo,NA,pala7,NA,NA,NA,NA,NA,NA,NA,NA,imuwa,matay,mamatay,natoy,kuloms,patoy,NA,matay,daqan,matay,giran,napatay,unpatey,matay,patay,pat3y,bugtu7,NA,NA,NA,hla,matey,tigbak,yaem3,gadan,matay,patey,mori,NA,NA,patay,mate,NA,patay,NA,NA,NA,patoy,fandus,zar,mt,NA,matay,matey,bayandag,mori,zakat,diman,matai,mapatay,matoy,patay,matay,NA,matey,NA,NA,NA,matoy
dog,otu,ayam,lapul,itu,uwa7,aho,edo,iroq,zakur,k37d3N,ay3m,ay3m,asu,aso,qayam,asu,gady~a,kh~ui,iro7,kiriN,ty~u7,qayam,aso7,asu7,dag,plodo,koer,koira,kh~eiN,atu,idu7,asu,kuTa,kitu,asu,kahu,kahu,kahu,aso,atu,aso,asu,qayam,atu,Etu,aso,inu,tasu,ayam,idu7,asu,asu,ahhu,aso,asu,ayam,kE,qayam,qayam,pin,ido7,idi7,asu,idu7,asu,tuyaN,toyaN,asu,asu,idu7,ido7,aso,aso,asu,pi5e,idoN,murtux,asu,qayam,qayam,qayam,k3d3N,aso,ero7,7id3N,NA,7ayam,edo7,aho7,asu,Co,ero7,ayam,b3e53,qayam,qayam,ideN,pero,gayam,gitu7,ido,asu,ohuh,aso,k37d3N,kiru7,qiru7,uku7,itu7,k3pek,klb,NA,ayam,asu,atu,%iru,agsa,Cito,asu,ido,aso,idu,ido7,idu7,aso,idu7,idu7,asu,asu
drink,uminum,inum,matim,amminum,inum,inum,inum,NA,edan,inum,inum,minum,eNinum,inom,qinum,inum,moinum,an,inum,inim,inom,qinum,uminom,magroNroN,driNk,ojirim,jo,juo,ch~iok,minum,uminum,inum,in,uminum,minum,uminum,inum,uminum,inom,inum,inom,inem,qinum,inum,inum,ominom,nomu,inumon,in3m,in3m,uminum,inum,man7innum,ominom,inum,inom,masi,qinum,qinum,juodyo,in3m,NA,inum,in3m,inum,in3m,inom,inum,inum,in3m,inum,inom,maginom,uminum,sy~imoms,inum,untLa,inum,qinum,qinum,qinum,inum,inom,inum,7inum,minum,inum,inum,minom,maNinuN,ou,inum,i7inom,%yowk3,qinum,qinum,inom,bebe,minum,minum,inom,inam,minum,inom,inum,in3m,mag7inum,inum,inem,iCki,Sty,inom,inom,inum,inum,toma,inom,inom,inum,mainum,omenom,ilimnon,tal7~ok,inim,maninom,imin3m,inim,inum,uminum
dry,NA,NA,NA,NA,NA,NA,NA,NA,lehor,NA,NA,NA,NA,NA,NA,mamara,NA,NA,NA,NA,NA,NA,NA,NA,drEi,NA,kuiv,kuiva,NA,NA,uga,mamara,saraz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kawaita,NA,NA,NA,NA,NA,NA,NA,maliNi7,NA,marun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kosy~ke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,koCoh,NA,NA,NA,NA,NA,NA,seko,NA,NA,NA,NA,NA,tuyo,NA,NA,NA,NA,NA,kuru,NA,NA,NA,NA,NA,NA,akjit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ear,boNboN,duxuNg~an,NA,taliNa,NA,iNo,taiNa,taliNa,belarri,taliNa,kliN3,kliN3,NA,kol3N,taliNa,taliNa,taliNa,nikh~a,daluNg~an,taliNa,taliNa,taliNa,taliNa7,taliNa,ir,klabara,korv,korva,Nai,layag,tuli,taliNa,fil,taliNa,toliNo,iNa,iNa,iNa,lapayag,taliNa,tangida,taNila,taliNa,taliNa,dErENgEN,iNa,mimi,tohiNo,taliNa,taliNa,iNa,iNa,Nila,iNa,balugbug,taliNa,kw~i,taliNa,taliNa,kuora,taliNa,seweN,taliNa,taliNa,t3liNa,t3liNa,toliNa,taliNa,t3liNa,tariNa,tiNa,taNila,taliNa,iNa,pily~e,toliNa,Ch~ix,taNila,tariNa,taliNa,taliNa,taliNa,layag,taiNa,taliNa,t3liNa,taliNa,taliNa,toli,tuli,tuan,teyNa,talinga,bieLi3,tariNa,taliNa,teliNa,oreha,toliNa,t3liNa,taliNa,NA,kliNuh,teNa,taliNa,taliNa7,taiNah,taliNo,keliNo7,kulak,udn,NA,taliNa,tayiNe,bambaN,orehas,taliNa,taji5a,teliNo,dulungan,inga,duluNg~an,taliNa,taliNa,keweN,taliNa,taliNa,taliNa,iyanga
earth,NA,NA,NA,NA,NA,NA,NA,NA,lurbira,NA,NA,NA,NA,NA,NA,bugta7,NA,NA,NA,NA,NA,NA,NA,NA,3r8,NA,ma,maa,NA,NA,daga7,bugta7,fild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cikyu,NA,NA,NA,NA,NA,NA,NA,gabun,NA,Cigu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tonei,NA,NA,NA,NA,NA,NA,tiera,NA,NA,NA,NA,NA,lupa,NA,NA,NA,NA,NA,toprak,NA,NA,NA,NA,NA,NA,tana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eat,NA,NA,NA,NA,NA,NA,NA,NA,yanari,NA,NA,NA,NA,NA,NA,ka7on,NA,NA,NA,NA,NA,NA,NA,NA,it,NA,so,sy~3,NA,NA,kuma7un,ka7on,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tabe,NA,NA,NA,NA,NA,NA,NA,maNam,NA,mok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yarxcams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ka,NA,NA,NA,NA,NA,NA,kome,NA,NA,NA,NA,NA,kain,NA,NA,NA,NA,NA,ye,NA,NA,NA,NA,NA,NA,kan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
egg,NA,NA,NA,NA,NA,NA,NA,NA,arraulca,NA,NA,NA,NA,NA,NA,impis,NA,NA,NA,NA,NA,NA,NA,NA,%eg,NA,muna,muna,NA,NA,itlug,impis,tojas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tamago,NA,NA,NA,NA,NA,NA,NA,ebun,NA,al,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,al,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kota,NA,NA,NA,NA,NA,NA,wevo,NA,NA,NA,NA,NA,itlog,NA,NA,NA,NA,NA,yumurta,NA,NA,NA,NA,NA,NA,icy~oy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eye,moto,mata,NA,mata,moto,mata,mata,mata,begi,mata,mato,mata,mata,mata,mata,mata,mata,nicr,mata,mata,mata7,mata,mata7,mata7,Ei,sim,silm,silmE,meikciu,mata,mata,mata,sem,mata,mato,mata,mata,mata,mata,mata,mata,mata,mata,mata,mEtE,ata,me,mato,mata,mata,ata,ata,mata,mata,mata,mata,nun,mata,mata,NA,mata,NA,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,ata,sy~ely~my~e,mata,nut,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,mata,ma,mata,mata,Cy~elmi3,mata,mata,mata,oho,mata,mata,mata,mata,matah,mata,mata,mata7,matah,mato,moto,delik,Xn,NA,mata,mata,mata,oho,mata,mata,mato,mata,mata,mata,mata,mata,mata,mata,mata,buliga7,ata
feather,NA,NA,NA,NA,NA,NA,NA,NA,luma,NA,NA,NA,NA,NA,NA,bulbul,NA,NA,NA,NA,NA,NA,NA,NA,fE8r,NA,sulg,sulka,NA,NA,bulbul manuk,bulbul,tol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yumo,NA,NA,NA,NA,NA,NA,NA,bagyus,NA,kit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tolga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pluma,NA,NA,NA,NA,NA,balahibo,NA,NA,NA,NA,NA,kuS tiyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fire,opuy,kaxayu,dut,api,api,apoy,api,kayado,su,apuy,lifoh,lifo,afi,apoy,kalayu,hapuy,kayo,fai,kalayu,apoy,kalayo7,kalayu,apoy,gaNatan,fEir,polo7iso,tuli,tuli,hui,apuy,apuy,hapuy,tiz,afi,apuy,apuy,apuy,apuy,apoy,gapuy,apoy,apui,kalayu,apuy,Efi,apoy,hi,tapui,apuy,atulun,apuy,apuy,apuy,apoy,api7,kalayo,pul,kalayu,kalayu,tul,gabok,hapuy,hapuy,kayu,apuy,apuy,apoy,hapuy,hapuy,aturun,api,apoi,kalayo,apuy,tol,apuy,GaL,apuy,karayu,kalayu,kalayu,apuy,po7ol,api,7apuy,apuy,kalayu,api,apoy,putuN,on,NA,yimpon,dol3,kalayu,kalayu,apoy,fuego,gapoy,gapuy,kayajo,apuy,ofih,apoy,apuy,apuy,kayuh,apuy,afey,ateS,iSitu,apoy,kayo,ebut,afuy,pw~ego,apoy,apoy,apoi,kalayo,NA,Clayo,api,atun,apoy,atulun,atuun,apuy,NA
